name,position,team,opponent_team,price,condition,xTotPoints,total_points
Cameron Archer,FWD,Southampton,West Ham United,5.0,1.0,1.01,0
Ezri Konsa Ngoyo,DEF,Aston Villa,Newcastle United,4.4,1.0,3.73,1
Erling Haaland,FWD,Manchester City,Everton,14.8,1.0,2.87,0
Virgil van Dijk,DEF,Liverpool,Leicester City,6.5,1.0,2.77,2
Bilal El Khannouss,MID,Leicester City,Liverpool,4.8,1.0,2.49,2
Matt Turner,GK,Crystal Palace,Bournemouth,4.0,1.0,-0.0,0
Juan Larios López,DEF,Southampton,West Ham United,4.0,0.0,-0.0,0
Toby Collyer,MID,Manchester United,Wolverhampton Wanderers,4.5,1.0,-0.0,0
Asher Agbinone,MID,Crystal Palace,Bournemouth,4.5,1.0,-0.0,0
Kadan Young,MID,Aston Villa,Newcastle United,4.5,1.0,-0.0,0
Ethan Pinnock,DEF,Brentford,Brighton & Hove Albion,4.5,0.0,0.55,0
William Saliba,DEF,Arsenal,Ipswich Town,6.3,1.0,5.63,7
Altay Bayindir,GK,Manchester United,Wolverhampton Wanderers,4.3,1.0,-0.0,0
Chris Richards,DEF,Crystal Palace,Bournemouth,4.4,1.0,0.19,0
Rayan Aït-Nouri,DEF,Wolverhampton Wanderers,Manchester United,4.8,1.0,0.39,6
James Justin,DEF,Leicester City,Liverpool,4.3,1.0,0.73,1
Joshua Zirkzee,FWD,Manchester United,Wolverhampton Wanderers,6.6,1.0,1.02,1
Martin Ødegaard,MID,Arsenal,Ipswich Town,8.3,1.0,3.06,3
Cesare Casadei,MID,Chelsea,Fulham,4.4,1.0,-0.0,0
Jaden Philogene,MID,Aston Villa,Newcastle United,5.3,1.0,0.28,0
Mario Lemina,MID,Wolverhampton Wanderers,Manchester United,5.0,0.75,1.61,0
Adam Wharton,MID,Crystal Palace,Bournemouth,4.7,0.0,0.01,0
Luis Sinisterra,MID,Bournemouth,Crystal Palace,4.8,0.0,0.0,0
Michael Keane,DEF,Everton,Manchester City,4.1,1.0,-0.0,0
Stephy Mavididi,MID,Leicester City,Liverpool,5.1,1.0,1.01,5
Anthony Gordon,MID,Newcastle United,Aston Villa,7.2,1.0,4.27,10
Diego Carlos Santos Silva,DEF,Aston Villa,Newcastle United,4.5,0.75,0.24,0
Trent Alexander-Arnold,DEF,Liverpool,Leicester City,7.1,1.0,4.84,2
Josh King,MID,Fulham,Chelsea,4.5,1.0,0.14,0
Matt O'Riley,MID,Brighton & Hove Albion,Brentford,5.5,1.0,0.13,3
Jørgen Strand Larsen,FWD,Wolverhampton Wanderers,Manchester United,5.6,1.0,1.83,2
Jack Harrison,MID,Everton,Manchester City,5.2,1.0,1.2,2
Riccardo Calafiori,DEF,Arsenal,Ipswich Town,5.8,1.0,0.15,0
Luke Cundle,MID,Wolverhampton Wanderers,Manchester United,4.5,1.0,-0.0,0
Jan Bednarek,DEF,Southampton,West Ham United,4.0,1.0,0.96,2
André Onana,GK,Manchester United,Wolverhampton Wanderers,5.2,1.0,1.93,1
Odsonne Edouard,FWD,Leicester City,Liverpool,5.1,1.0,0.0,0
Odsonne Edouard,FWD,Leicester City,Liverpool,5.1,1.0,0.0,0
Deivid Washington de Souza Eugênio,FWD,Chelsea,Fulham,4.9,1.0,-0.0,0
Deivid Washington de Souza Eugênio,FWD,Chelsea,Fulham,4.9,1.0,-0.0,0
Bukayo Saka,MID,Arsenal,Ipswich Town,10.5,0.0,3.88,0
Hamza Choudhury,MID,Leicester City,Liverpool,4.3,1.0,0.64,0
Wesley Fofana,DEF,Chelsea,Fulham,4.4,0.0,0.06,0
Lucas Digne,DEF,Aston Villa,Newcastle United,4.7,1.0,0.19,1
Joe Aribo,MID,Southampton,West Ham United,4.9,1.0,2.21,1
Matthijs de Ligt,DEF,Manchester United,Wolverhampton Wanderers,5.0,0.75,1.02,0
Jack Hinshelwood,MID,Brighton & Hove Albion,Brentford,4.9,0.25,-0.0,0
Antoine Semenyo,MID,Bournemouth,Crystal Palace,5.6,1.0,3.72,3
Will Dennis,GK,Bournemouth,Crystal Palace,4.0,1.0,-0.0,0
Joe Lumley,GK,Southampton,West Ham United,4.0,1.0,1.01,0
Dwight McNeil,MID,Everton,Manchester City,5.3,0.5,2.97,0
Kim Ji-soo,DEF,Brentford,Brighton & Hove Albion,3.9,1.0,-0.0,1
Franco Umeh-Chibueze,MID,Crystal Palace,Bournemouth,4.4,0.25,-0.0,0
Nathaniel Clyne,DEF,Crystal Palace,Bournemouth,4.3,1.0,-0.08,0
Saša Lukić,MID,Fulham,Chelsea,4.8,0.75,0.76,5
Kevin De Bruyne,MID,Manchester City,Everton,9.5,1.0,2.15,1
Norberto Murara Neto,GK,Arsenal,Ipswich Town,4.2,1.0,-0.0,0
Tyrell Malacia,DEF,Manchester United,Wolverhampton Wanderers,4.4,1.0,0.23,0
Lewis Dunk,DEF,Brighton & Hove Albion,Brentford,4.4,1.0,1.44,6
Antony Matheus dos Santos,MID,Manchester United,Wolverhampton Wanderers,5.7,1.0,0.7,1
Ibrahima Konaté,DEF,Liverpool,Leicester City,5.1,0.0,0.01,0
Chadi Riad Dnanou,DEF,Crystal Palace,Bournemouth,4.3,0.75,-0.0,0
Levi Colwill,DEF,Chelsea,Fulham,4.6,1.0,3.23,4
Nick Pope,GK,Newcastle United,Aston Villa,4.9,0.0,0.13,0
Jorge Luiz Frello Filho,MID,Arsenal,Ipswich Town,4.7,1.0,1.01,0
Oliwier Zych,GK,Aston Villa,Newcastle United,4.0,1.0,-0.0,0
Idrissa Gueye,MID,Everton,Manchester City,4.8,1.0,2.58,2
Joe Gomez,DEF,Liverpool,Leicester City,4.9,1.0,0.98,1
Dominic Calvert-Lewin,FWD,Everton,Manchester City,5.4,1.0,1.82,2
Yerson Mosquera,DEF,Wolverhampton Wanderers,Manchester United,3.9,0.0,-0.0,0
Sil Swinkels,DEF,Aston Villa,Newcastle United,4.0,1.0,-0.0,0
Konstantinos Tsimikas,DEF,Liverpool,Leicester City,4.6,1.0,0.0,1
Christian Nørgaard,MID,Brentford,Brighton & Hove Albion,4.8,1.0,1.35,3
Emiliano Martínez Romero,GK,Aston Villa,Newcastle United,5.0,1.0,4.18,2
Declan Rice,MID,Arsenal,Ipswich Town,6.2,1.0,3.94,3
Gabriel dos Santos Magalhães,DEF,Arsenal,Ipswich Town,6.3,1.0,2.33,6
Cody Gakpo,FWD,Liverpool,Leicester City,7.2,1.0,5.64,12
Salah-Eddine Oulad M'hand,MID,Arsenal,Ipswich Town,4.5,1.0,-0.0,0
Vitaly Janelt,MID,Brentford,Brighton & Hove Albion,4.9,1.0,1.0,3
Adama Traoré,MID,Fulham,Chelsea,4.7,1.0,0.85,2
Tommy Setford,GK,Arsenal,Ipswich Town,4.5,1.0,-0.0,0
Alexis Mac Allister,MID,Liverpool,Leicester City,6.2,1.0,2.98,8
Endo Wataru,MID,Liverpool,Leicester City,4.6,1.0,-0.0,1
Keane Lewis-Potter,MID,Brentford,Brighton & Hove Albion,5.0,1.0,1.61,3
Michael Golding,MID,Leicester City,Liverpool,4.4,1.0,-0.0,0
João Félix Sequeira,MID,Chelsea,Fulham,6.0,1.0,0.49,0
Remi Matthews,GK,Crystal Palace,Bournemouth,3.9,1.0,-0.0,0
Emile Smith Rowe,MID,Fulham,Chelsea,5.4,0.75,0.53,0
Enes Ünal,FWD,Bournemouth,Crystal Palace,5.4,1.0,1.07,2
Lucas Bergström,GK,Chelsea,Fulham,3.9,1.0,-0.0,0
Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,Crystal Palace,6.0,1.0,3.06,1
Gabriel Fernando de Jesus,FWD,Arsenal,Ipswich Town,6.8,1.0,1.27,2
Iliman Ndiaye,FWD,Everton,Manchester City,5.4,1.0,0.84,9
David Raya Martin,GK,Arsenal,Ipswich Town,5.6,1.0,3.09,6
Enso González,MID,Wolverhampton Wanderers,Manchester United,4.4,0.0,-0.0,0
Christopher Nkunku,MID,Chelsea,Fulham,5.8,1.0,0.73,1
Manuel Akanji,DEF,Manchester City,Everton,5.3,1.0,1.03,2
Ryan Gravenberch,MID,Liverpool,Leicester City,5.0,1.0,2.0,2
Joe Willock,MID,Newcastle United,Aston Villa,4.8,1.0,2.1,1
Mark Flekken,GK,Brentford,Brighton & Hove Albion,4.5,1.0,3.14,3
Lewis Cook,MID,Bournemouth,Crystal Palace,5.0,1.0,1.61,3
Alex Iwobi,MID,Fulham,Chelsea,5.8,1.0,3.52,2
Ethan Nwaneri,MID,Arsenal,Ipswich Town,4.5,1.0,0.3,0
Ross Stewart,FWD,Southampton,West Ham United,4.4,0.0,-0.0,0
Ross Stewart,FWD,Southampton,West Ham United,4.4,0.0,-0.0,0
Matt Doherty,DEF,Wolverhampton Wanderers,Manchester United,4.3,1.0,1.28,6
Ilkay Gündogan,MID,Manchester City,Everton,6.5,1.0,1.71,1
Isaac Hayden,MID,Newcastle United,Aston Villa,4.4,1.0,-0.0,0
Conor Bradley,DEF,Liverpool,Leicester City,4.7,0.0,0.0,0
Tom Cairney,MID,Fulham,Chelsea,4.8,1.0,0.86,1
Jarell Quansah,DEF,Liverpool,Leicester City,3.9,1.0,0.19,0
Jacob Ramsey,MID,Aston Villa,Newcastle United,5.4,0.0,0.0,0
Emiliano Buendía Stati,MID,Aston Villa,Newcastle United,5.1,1.0,0.5,1
James McAtee,MID,Manchester City,Everton,4.6,1.0,0.0,0
Andrew Robertson,DEF,Liverpool,Leicester City,5.9,1.0,1.64,1
Youri Tielemans,MID,Aston Villa,Newcastle United,5.5,1.0,2.24,1
João Neves Virgínia,GK,Everton,Manchester City,3.9,1.0,-0.0,0
Oleksandr Zinchenko,DEF,Arsenal,Ipswich Town,4.8,0.75,0.92,0
Ederson Santana de Moraes,GK,Manchester City,Everton,5.4,0.5,1.05,0
Norberto Bercique Gomes Betuncal,FWD,Everton,Manchester City,5.0,1.0,0.32,0
Norberto Bercique Gomes Betuncal,FWD,Everton,Manchester City,5.0,1.0,0.32,0
Diogo Dalot Teixeira,DEF,Manchester United,Wolverhampton Wanderers,5.1,1.0,1.24,1
Danny Welbeck,FWD,Brighton & Hove Albion,Brentford,5.6,0.25,0.31,0
Yankuba Minteh,MID,Brighton & Hove Albion,Brentford,5.1,1.0,1.33,1
Nathan Aké,DEF,Manchester City,Everton,5.3,1.0,1.12,2
Bernd Leno,GK,Fulham,Chelsea,5.0,1.0,4.15,4
Jamaal Lascelles,DEF,Newcastle United,Aston Villa,4.5,0.0,-0.0,0
Axel Disasi,DEF,Chelsea,Fulham,4.2,1.0,4.97,0
Ismeal Kabia,MID,Arsenal,Ipswich Town,4.5,1.0,-0.0,0
Kevin Schade,MID,Brentford,Brighton & Hove Albion,5.1,1.0,4.87,3
Victor Kristiansen,DEF,Leicester City,Liverpool,4.5,1.0,0.92,1
Kyle Walker-Peters,DEF,Southampton,West Ham United,4.3,1.0,1.95,2
Daniel Bentley,GK,Wolverhampton Wanderers,Manchester United,4.0,1.0,-0.0,0
Antonee Robinson,DEF,Fulham,Chelsea,4.9,1.0,4.52,1
Patson Daka,FWD,Leicester City,Liverpool,4.8,1.0,1.29,2
Patson Daka,FWD,Leicester City,Liverpool,4.8,1.0,1.29,2
Illia Zabarnyi,DEF,Bournemouth,Crystal Palace,4.4,1.0,6.15,6
Gavin Bazunu,GK,Southampton,West Ham United,4.3,0.0,-0.0,0
Sven Botman,DEF,Newcastle United,Aston Villa,4.4,0.5,-0.0,0
Danny Ward,GK,Leicester City,Liverpool,4.0,1.0,1.05,0
Samuel Amo-Ameyaw,MID,Southampton,West Ham United,4.4,1.0,-0.0,0
Joe Gauci,GK,Aston Villa,Newcastle United,4.0,1.0,-0.0,0
João Pedro Junqueira de Jesus,FWD,Brighton & Hove Albion,Brentford,5.9,1.0,2.2,2
Justin Kluivert,MID,Bournemouth,Crystal Palace,5.5,1.0,6.7,2
Martin Dúbravka,GK,Newcastle United,Aston Villa,4.2,1.0,0.81,6
Flynn Downes,MID,Southampton,West Ham United,4.8,1.0,1.95,2
Alejandro Garnacho,MID,Manchester United,Wolverhampton Wanderers,6.1,1.0,1.09,1
Ronnie Edwards,DEF,Southampton,West Ham United,3.9,1.0,0.18,0
Jack Grealish,MID,Manchester City,Everton,6.4,1.0,1.14,0
Simon Adingra,MID,Brighton & Hove Albion,Brentford,5.2,1.0,0.67,1
Ben Mee,DEF,Brentford,Brighton & Hove Albion,4.2,1.0,0.34,5
Leon Chiwome,FWD,Wolverhampton Wanderers,Manchester United,4.5,1.0,-0.0,0
Leon Chiwome,FWD,Wolverhampton Wanderers,Manchester United,4.5,1.0,-0.0,0
Harrison Armstrong,MID,Everton,Manchester City,4.5,1.0,-0.0,0
Carney Chukwuemeka,MID,Chelsea,Fulham,4.8,1.0,-0.0,0
Tom King,GK,Wolverhampton Wanderers,Manchester United,4.0,1.0,-0.0,0
Wout Faes,DEF,Leicester City,Liverpool,4.0,1.0,0.39,0
Leny Yoro,DEF,Manchester United,Wolverhampton Wanderers,4.3,1.0,0.25,1
Pedro Lomba Neto,MID,Chelsea,Fulham,6.2,1.0,0.94,1
Ian Maatsen,DEF,Aston Villa,Newcastle United,4.6,1.0,0.37,0
Harry Winks,MID,Leicester City,Liverpool,4.5,1.0,0.2,2
Mads Roerslev Rasmussen,DEF,Brentford,Brighton & Hove Albion,4.3,0.75,1.19,6
Jurriën Timber,DEF,Arsenal,Ipswich Town,5.7,1.0,3.31,9
Saša Kalajdžić,FWD,Wolverhampton Wanderers,Manchester United,4.8,0.0,-0.0,0
Saša Kalajdžić,FWD,Wolverhampton Wanderers,Manchester United,4.8,0.0,-0.0,0
Julio Enciso,MID,Brighton & Hove Albion,Brentford,5.4,1.0,0.65,3
Ayden Heaven,DEF,Arsenal,Ipswich Town,4.0,1.0,-0.0,0
Marc Cucurella Saseta,DEF,Chelsea,Fulham,5.2,1.0,4.58,1
Toti António Gomes,DEF,Wolverhampton Wanderers,Manchester United,4.3,1.0,1.68,8
Dan Burn,DEF,Newcastle United,Aston Villa,4.4,1.0,3.86,6
Jordan Pickford,GK,Everton,Manchester City,4.9,1.0,2.93,9
Boubacar Traoré,MID,Wolverhampton Wanderers,Manchester United,4.8,0.0,-0.0,0
Mikkel Damsgaard,MID,Brentford,Brighton & Hove Albion,5.0,1.0,3.12,3
Luis Díaz,MID,Liverpool,Leicester City,7.5,1.0,2.15,0
Carlos Vinícius Alves Morais,FWD,Fulham,Chelsea,5.0,1.0,0.38,0
Carlos Vinícius Alves Morais,FWD,Fulham,Chelsea,5.0,1.0,0.38,0
Pervis Estupiñán,DEF,Brighton & Hove Albion,Brentford,5.1,1.0,1.11,6
