name,position,team,predicted_total_points,price,condition
Kobbie Mainoo,MID,Manchester United,2.54,5.5,1.0
Antonee Robinson,DEF,Fulham,0.74,4.6,1.0
Harrison Reed,MID,Fulham,0.37,5.0,1.0
Tom Cairney,MID,Fulham,0.73,4.9,1.0
Harry Wilson,MID,Fulham,0.76,5.4,1.0
Hannibal Mejbri,MID,Manchester United,0.01,4.5,1.0
Kenny Tete,DEF,Fulham,0.63,4.5,1.0
Noussair Mazraoui,DEF,Manchester United,7.52,4.5,1.0
Alex Iwobi,MID,Fulham,1.59,5.5,1.0
Victor Lindelöf,DEF,Manchester United,0.38,4.4,0.0
Diogo Dalot,DEF,Manchester United,7.32,5.0,1.0
Bernd Leno,GK,Fulham,3.11,5.0,1.0
Timothy Castagne,DEF,Fulham,1.33,4.4,1.0
Raúl Jiménez,FWD,Fulham,0.73,5.5,1.0
Kalvin Phillips,MID,Ipswich Town,0.01,5.0,1.0
Leif Davis,DEF,Ipswich Town,0.37,4.5,1.0
Andy Robertson,DEF,Liverpool,3.52,6.0,1.0
Freddie Ladapo,FWD,Ipswich Town,0.01,4.5,1.0
Massimo Luongo,MID,Ipswich Town,1.24,4.5,1.0
Conor Townsend,DEF,Ipswich Town,0.71,4.0,1.0
Sam Szmodics,MID,Ipswich Town,0.5,6.0,1.0
Jarell Quansah,DEF,Liverpool,1.01,4.3,1.0
Harvey Elliott,MID,Liverpool,1.33,5.3,1.0
Luke Woolfenden,DEF,Ipswich Town,0.08,4.0,1.0
Ibrahima Konaté,DEF,Liverpool,0.37,5.0,1.0
Ben Doak,MID,Liverpool,0.02,4.5,1.0
Nathaniel Phillips,DEF,Liverpool,0.01,4.0,1.0
Mohamed Salah,MID,Liverpool,14.38,12.6,1.0
Liam Delap,FWD,Ipswich Town,0.6,5.5,1.0
Jacob Greaves,DEF,Ipswich Town,1.02,4.0,1.0
João Teixeira,MID,Liverpool,2.99,5.4,1.0
Tyler Morton,MID,Liverpool,0.01,4.5,1.0
Stefan Bajcetic,MID,Liverpool,0.02,4.5,1.0
Christian Walton,GK,Ipswich Town,0.81,4.5,1.0
George Hirst,FWD,Ipswich Town,0.04,5.5,0.0
Trent Alexander-Arnold,DEF,Liverpool,5.91,7.0,1.0
Cameron Peupion,MID,Ipswich Town,0.01,5.4,1.0
Sam Morsy,MID,Ipswich Town,1.73,5.0,1.0
Omari Hutchinson,MID,Ipswich Town,0.31,5.5,1.0
Caoimhín Kelleher,GK,Liverpool,0.0,4.5,1.0
