name,position,team,predicted_total_points,price,condition
Chris Richards,DEF,Crystal Palace,1.17,4.5,1.0
Nathan Ferguson,DEF,Brentford,0.12,4.0,1.0
Marc Guéhi,DEF,Crystal Palace,1.4,4.5,1.0
Nathan Collins,DEF,Brentford,5.19,4.5,1.0
Mathias Jensen,MID,Brentford,1.13,5.5,1.0
Yehor Yarmoliuk,MID,Brentford,0.64,4.5,1.0
Daniel Muñoz,DEF,Crystal Palace,3.92,5.0,1.0
Aaron Hickey,DEF,Brentford,-0.05,4.5,0.0
Matheus França,MID,Crystal Palace,0.02,4.5,1.0
Christian Nørgaard,MID,Brentford,1.97,5.0,1.0
Will Hughes,MID,Crystal Palace,1.27,4.9,1.0
Ji-Soo Kim,DEF,Brentford,0.01,4.0,1.0
Mads Roerslev,DEF,Brentford,1.35,4.5,1.0
Nathaniel Clyne,DEF,Crystal Palace,1.69,4.5,1.0
Hákon Valdimarsson,GK,Brentford,-0.01,4.0,1.0
Chadi Riad,DEF,Crystal Palace,0.01,4.5,0.25
Fábio Carvalho,MID,Brentford,0.54,5.0,1.0
Ben Mee,DEF,Brentford,0.26,4.5,1.0
Vitaly Janelt,MID,Brentford,5.41,5.0,1.0
Keane Lewis-Potter,MID,Brentford,2.2,5.0,1.0
Remi Matthews,GK,Crystal Palace,0.01,4.0,1.0
Mark Flekken,GK,Brentford,2.85,4.5,1.0
Joel Ward,DEF,Crystal Palace,0.33,4.5,1.0
Ivan Toney,FWD,Brentford,0.89,7.3,1.0
Kevin Schade,MID,Brentford,1.15,5.5,1.0
Naouirou Ahamada,MID,Crystal Palace,0.08,4.5,1.0
Kristoffer Ajer,DEF,Brentford,1.06,4.5,1.0
Ryan Trevitt,MID,Brentford,0.01,4.5,1.0
Mikkel Damsgaard,MID,Brentford,1.75,5.0,1.0
Adam Wharton,MID,Crystal Palace,2.02,5.0,1.0
Khayon Edwards,FWD,Crystal Palace,0.64,5.4,1.0
Jeffrey Schlupp,MID,Crystal Palace,0.61,4.9,1.0
Adler Nascimento,MID,Chelsea,0.01,6.5,1.0
Manuel Akanji,DEF,Manchester City,4.68,5.5,1.0
Christopher Nkunku,MID,Chelsea,0.77,6.4,1.0
Tosin Adarabioyo,DEF,Chelsea,-0.02,4.4,1.0
Lucas Bergström,GK,Chelsea,0.01,4.0,1.0
Moisés Caicedo,MID,Chelsea,0.75,5.0,1.0
Scott Carson,GK,Manchester City,0.01,4.0,1.0
Nicolas Jackson,FWD,Chelsea,2.79,7.6,1.0
Roméo Lavia,MID,Chelsea,0.56,4.5,0.75
Marc Guiu,FWD,Chelsea,0.41,5.0,1.0
Jack Grealish,MID,Manchester City,-0.01,6.4,1.0
Omari Kellyman,MID,Chelsea,0.47,4.5,1.0
Alfie Gilchrist,DEF,Chelsea,0.03,5.0,1.0
Rico Lewis,DEF,Manchester City,4.87,4.6,1.0
Enzo Fernández,MID,Chelsea,1.48,5.0,1.0
Cesare Casadei,MID,Chelsea,0.7,4.5,1.0
Ederson Moraes,GK,Manchester City,5.37,5.5,1.0
Axel Disasi,DEF,Chelsea,0.14,4.4,1.0
Trevoh Chalobah,DEF,Chelsea,1.11,4.4,1.0
Kepa Arrizabalaga,GK,Chelsea,0.0,4.5,1.0
Josko Gvardiol,DEF,Manchester City,5.68,6.0,1.0
Marcus Bettinelli,GK,Chelsea,0.01,4.0,1.0
Malo Gusto,DEF,Chelsea,0.83,5.0,1.0
Noni Madueke,MID,Chelsea,0.65,6.5,1.0
Lesley Ugochukwu,MID,Chelsea,0.62,4.9,1.0
Nathan Aké,DEF,Manchester City,0.57,5.5,1.0
Benoît Badiashile,DEF,Chelsea,-0.0,4.5,1.0
James McAtee,MID,Manchester City,0.29,4.9,1.0
Armando Broja,FWD,Chelsea,0.47,5.5,1.0
Mateo Kovacic,MID,Manchester City,10.36,5.5,1.0
Phil Foden,MID,Manchester City,2.49,9.4,1.0
Raheem Sterling,MID,Chelsea,2.87,6.9,1.0
John Stones,DEF,Manchester City,0.37,5.4,1.0
Cole Palmer,MID,Chelsea,2.97,10.5,1.0
Mykhailo Mudryk,MID,Chelsea,1.04,6.4,1.0
Matheus Nunes,MID,Manchester City,0.09,5.0,1.0
Erling Haaland,FWD,Manchester City,10.54,15.1,1.0
Malang Sarr,DEF,Chelsea,0.01,4.5,1.0
Kyle Walker,DEF,Manchester City,3.72,5.4,1.0
Robert Sánchez,GK,Chelsea,0.47,4.5,1.0
Rodrigo Ribeiro,MID,Manchester City,0.02,6.4,0.25
Stefan Ortega,GK,Manchester City,0.39,5.4,1.0
Renato Veiga,MID,Chelsea,0.47,4.5,1.0
Reece James,DEF,Chelsea,1.25,5.0,0.0
Rúben Dias,DEF,Manchester City,3.31,5.5,1.0
Romelu Lukaku,FWD,Chelsea,0.01,6.3,1.0
Ben Chilwell,DEF,Chelsea,-0.08,4.9,1.0
Wesley Fofana,DEF,Chelsea,0.43,4.5,1.0
Nico O'Reilly,MID,Manchester City,0.01,5.0,1.0
Marc Cucurella,DEF,Chelsea,0.28,5.0,1.0
Conor Gallagher,MID,Chelsea,1.72,10.5,1.0
Jérémy Doku,MID,Manchester City,2.07,6.5,1.0
Oscar Bobb,MID,Manchester City,0.03,4.9,0.0
David Datro Fofana,FWD,Chelsea,0.66,5.4,1.0
Filip Jørgensen,GK,Chelsea,0.01,4.5,1.0
Bernardo Silva,MID,Manchester City,7.9,6.6,1.0
Pedro Neto,MID,Chelsea,0.5,6.5,1.0
Ederson Moraes,GK,Chelsea,1.03,4.0,1.0
Kevin De Bruyne,MID,Manchester City,3.24,9.6,1.0
Emmanuel Longelo,MID,Chelsea,0.01,4.5,1.0
Carney Chukwuemeka,MID,Chelsea,-0.03,4.9,1.0
Kiernan Dewsbury-Hall,MID,Chelsea,0.89,5.9,1.0
Caleb Okoli,DEF,Chelsea,0.01,4.5,1.0
Deivid Washington,FWD,Chelsea,0.01,5.0,1.0
Levi Colwill,DEF,Chelsea,0.23,4.5,1.0
Abdul Fatawu,MID,Leicester City,6.35,5.5,1.0
Boubakary Soumaré,MID,Leicester City,1.23,4.5,1.0
Yves Bissouma,MID,Tottenham Hotspur,0.56,5.0,1.0
Richarlison,FWD,Tottenham Hotspur,1.42,7.0,1.0
Jannik Vestergaard,DEF,Leicester City,0.55,4.0,1.0
Giovani Lo Celso,MID,Tottenham Hotspur,0.72,4.9,1.0
Luke Thomas,DEF,Leicester City,0.02,4.0,1.0
Brandon Austin,GK,Tottenham Hotspur,0.01,4.0,1.0
Oliver Skipp,MID,Tottenham Hotspur,0.55,6.4,1.0
Bryan Gil,MID,Tottenham Hotspur,0.01,4.5,1.0
Kasey McAteer,MID,Leicester City,0.63,4.9,1.0
Conor Coady,DEF,Leicester City,1.62,4.0,1.0
Will Lankshear,FWD,Tottenham Hotspur,0.01,4.5,1.0
Mikey Moore,MID,Tottenham Hotspur,-0.0,4.5,1.0
Brennan Johnson,MID,Tottenham Hotspur,2.6,6.4,1.0
Pape Sarr,MID,Tottenham Hotspur,1.41,5.0,1.0
Lucas Bergvall,MID,Tottenham Hotspur,0.52,4.5,1.0
Rodrigo Bentancur,MID,Tottenham Hotspur,2.58,5.0,0.5
Dominic Solanke,FWD,Tottenham Hotspur,2.29,7.5,0.5
James Justin,DEF,Leicester City,0.46,4.5,1.0
Stephy Mavididi,MID,Leicester City,0.44,5.4,1.0
Wanya Marçal,MID,Leicester City,0.01,4.5,1.0
Destiny Udogie,DEF,Tottenham Hotspur,1.72,5.0,1.0
Djed Spence,DEF,Tottenham Hotspur,0.41,4.5,1.0
Cristian Romero,DEF,Tottenham Hotspur,2.57,5.1,1.0
Hamza Choudhury,MID,Leicester City,0.01,4.5,1.0
Dane Scarlett,FWD,Tottenham Hotspur,0.04,4.5,1.0
Wilfred Ndidi,MID,Leicester City,1.43,5.0,1.0
Harry Winks,MID,Leicester City,1.84,4.5,1.0
Dejan Kulusevski,MID,Tottenham Hotspur,4.59,6.4,1.0
Michael Golding,MID,Leicester City,0.01,4.5,1.0
Archie Gray,MID,Tottenham Hotspur,0.47,4.9,1.0
Danny Ward,GK,Leicester City,-0.06,4.0,1.0
Patson Daka,FWD,Leicester City,0.68,4.9,0.0
Wilson Odobert,MID,Tottenham Hotspur,0.03,5.5,1.0
Jakub Stolarczyk,GK,Leicester City,0.01,4.0,0.0
Victor Kristiansen,DEF,Leicester City,1.53,4.5,1.0
Wout Faes,DEF,Leicester City,0.4,4.1,1.0
Caleb Okoli,DEF,Leicester City,0.01,4.0,1.0
Guglielmo Vicario,GK,Tottenham Hotspur,1.77,5.0,1.0
Pedro Porro,DEF,Tottenham Hotspur,6.51,5.5,1.0
Timo Werner,MID,Tottenham Hotspur,0.32,6.4,1.0
Alfie Devine,MID,Tottenham Hotspur,0.01,4.5,1.0
Facundo Buonanotte,MID,Leicester City,1.19,5.0,1.0
Emerson Royal,DEF,Tottenham Hotspur,0.5,5.1,1.0
Daniel Iversen,GK,Leicester City,-0.09,4.0,1.0
Mads Hermansen,GK,Leicester City,2.63,4.5,1.0
Alfie Whiteman,GK,Tottenham Hotspur,0.01,4.0,1.0
Jamie Vardy,FWD,Leicester City,4.01,5.6,1.0
Ben Davies,DEF,Tottenham Hotspur,-0.02,4.5,1.0
Thomas Cannon,FWD,Leicester City,0.01,4.5,1.0
Manor Solomon,MID,Tottenham Hotspur,0.03,7.5,1.0
Radu Dragusin,DEF,Tottenham Hotspur,-0.0,4.4,1.0
Ricardo Pereira,DEF,Leicester City,0.42,4.4,1.0
Will Alves,MID,Leicester City,0.01,4.5,1.0
James Maddison,MID,Tottenham Hotspur,4.25,7.5,1.0
Sergio Reguilón,DEF,Tottenham Hotspur,0.65,4.4,1.0
Fraser Forster,GK,Tottenham Hotspur,-0.01,4.5,1.0
Bobby De Cordova-Reid,MID,Leicester City,1.44,5.5,1.0
Micky van de Ven,DEF,Tottenham Hotspur,1.65,4.5,1.0
Harry Souttar,DEF,Leicester City,0.83,4.4,1.0
Ben Nelson,DEF,Leicester City,0.01,4.0,1.0
Heung-Min Son,MID,Tottenham Hotspur,4.1,7.5,1.0
