name,position,team,opponent_team,price,condition,xTotPoints
Sugawara Yukinari,DEF,Southampton,Manchester United,4.3,1.0,1.23
Bobby De Cordova-Reid,MID,Leicester City,Crystal Palace,5.2,1.0,0.7
Manuel Ugarte,MID,Manchester United,Southampton,4.9,1.0,0.94
Matheus Luiz Nunes,MID,Manchester City,Brentford,4.9,1.0,0.07
Jake O'Brien,DEF,Everton,Aston Villa,4.6,1.0,0.0
Cameron Peupion,MID,Brighton & Hove Albion,Ipswich Town,4.4,1.0,0.0
Kosta Nedeljković,DEF,Aston Villa,Everton,3.9,1.0,0.17
Sepp van den Berg,DEF,Brentford,Manchester City,4.1,1.0,1.78
Jarrad Branthwaite,DEF,Everton,Aston Villa,4.8,1.0,4.11
Ferdi Kadioglu,DEF,Brighton & Hove Albion,Ipswich Town,4.5,0.0,0.0
Mats Wieffer,MID,Brighton & Hove Albion,Ipswich Town,4.7,0.5,1.51
Kyle Walker,DEF,Manchester City,Brentford,5.1,1.0,0.97
Robert Sánchez,GK,Chelsea,Bournemouth,4.8,1.0,4.26
Asmir Begovic,GK,Everton,Aston Villa,4.0,1.0,0.0
Ricardo Barbosa Pereira,DEF,Leicester City,Crystal Palace,4.1,0.0,0.0
Harvey Elliott,MID,Liverpool,Nottingham Forest,5.2,1.0,0.97
Garang Kuol,MID,Newcastle United,Wolverhampton Wanderers,4.4,1.0,0.0
Rúben Gato Alves Dias,DEF,Manchester City,Brentford,5.4,0.25,0.08
Ben Chilwell,DEF,Chelsea,Bournemouth,4.7,1.0,0.0
Daniel Jebbison,FWD,Bournemouth,Chelsea,4.5,1.0,0.0
Tyrick Mitchell,DEF,Crystal Palace,Leicester City,4.8,1.0,4.61
Nico O'Reilly,MID,Manchester City,Brentford,4.9,1.0,0.0
Aaron Ramsdale,GK,Southampton,Manchester United,4.4,1.0,2.99
Igor Thiago Nascimento Rodrigues,FWD,Brentford,Manchester City,5.9,0.0,0.02
Kaden Rodney,MID,Crystal Palace,Leicester City,4.5,1.0,0.0
Armel Bella-Kotchap,DEF,Southampton,Manchester United,3.9,1.0,0.0
Rodrigo Martins Gomes,MID,Wolverhampton Wanderers,Newcastle United,5.2,1.0,1.78
Lamare Bogarde,DEF,Aston Villa,Everton,4.0,1.0,0.0
Noussair Mazraoui,DEF,Manchester United,Southampton,4.4,1.0,1.45
Cameron Archer,FWD,Southampton,Manchester United,5.0,1.0,0.88
Ezri Konsa Ngoyo,DEF,Aston Villa,Everton,4.4,1.0,1.59
Erling Haaland,FWD,Manchester City,Brentford,14.8,1.0,6.76
Virgil van Dijk,DEF,Liverpool,Nottingham Forest,6.4,1.0,2.16
Bilal El Khannouss,MID,Leicester City,Crystal Palace,4.8,1.0,1.08
Matt Turner,GK,Crystal Palace,Leicester City,3.9,1.0,0.0
Juan Larios López,DEF,Southampton,Manchester United,4.0,0.0,0.0
Toby Collyer,MID,Manchester United,Southampton,4.5,1.0,0.0
Asher Agbinone,MID,Crystal Palace,Leicester City,4.5,1.0,0.0
Kadan Young,MID,Aston Villa,Everton,4.5,1.0,0.0
Ethan Pinnock,DEF,Brentford,Manchester City,4.4,0.0,0.08
William Saliba,DEF,Arsenal,Tottenham Hotspur,6.3,1.0,3.7
Altay Bayindir,GK,Manchester United,Southampton,4.3,1.0,0.0
Chris Richards,DEF,Crystal Palace,Leicester City,4.4,1.0,0.4
Rayan Aït-Nouri,DEF,Wolverhampton Wanderers,Newcastle United,4.8,1.0,2.06
James Justin,DEF,Leicester City,Crystal Palace,4.2,1.0,0.94
Joshua Zirkzee,FWD,Manchester United,Southampton,6.5,1.0,1.08
Martin Ødegaard,MID,Arsenal,Tottenham Hotspur,8.3,1.0,1.73
Cesare Casadei,MID,Chelsea,Bournemouth,4.4,1.0,0.0
Jaden Philogene,MID,Aston Villa,Everton,5.3,1.0,0.0
Mario Lemina,MID,Wolverhampton Wanderers,Newcastle United,4.9,1.0,0.82
Adam Wharton,MID,Crystal Palace,Leicester City,4.7,0.0,0.0
Luis Sinisterra,MID,Bournemouth,Chelsea,4.8,0.0,0.0
Michael Keane,DEF,Everton,Aston Villa,4.0,1.0,0.0
Stephy Mavididi,MID,Leicester City,Crystal Palace,5.1,1.0,4.92
Anthony Gordon,MID,Newcastle United,Wolverhampton Wanderers,7.6,1.0,6.86
Diego Carlos Santos Silva,DEF,Aston Villa,Everton,4.5,0.0,0.25
Trent Alexander-Arnold,DEF,Liverpool,Nottingham Forest,7.2,1.0,3.93
Josh King,MID,Fulham,West Ham United,4.5,1.0,0.43
Matt O'Riley,MID,Brighton & Hove Albion,Ipswich Town,5.5,1.0,1.01
Jørgen Strand Larsen,FWD,Wolverhampton Wanderers,Newcastle United,5.5,1.0,3.49
Jack Harrison,MID,Everton,Aston Villa,5.2,1.0,1.65
Riccardo Calafiori,DEF,Arsenal,Tottenham Hotspur,5.8,0.75,1.08
Luke Cundle,MID,Wolverhampton Wanderers,Newcastle United,4.5,1.0,0.0
Jan Bednarek,DEF,Southampton,Manchester United,4.0,1.0,2.08
André Onana,GK,Manchester United,Southampton,5.1,1.0,1.64
Odsonne Edouard,FWD,Leicester City,Crystal Palace,5.1,0.0,0.0
Deivid Washington de Souza Eugênio,FWD,Chelsea,Bournemouth,4.9,1.0,0.0
Bukayo Saka,MID,Arsenal,Tottenham Hotspur,10.2,0.0,0.49
Hamza Choudhury,MID,Leicester City,Crystal Palace,4.3,1.0,0.58
Wesley Fofana,DEF,Chelsea,Bournemouth,4.4,0.0,0.0
Lucas Digne,DEF,Aston Villa,Everton,4.6,1.0,1.93
Joe Aribo,MID,Southampton,Manchester United,4.9,1.0,0.94
Matthijs de Ligt,DEF,Manchester United,Southampton,4.9,1.0,0.5
Jack Hinshelwood,MID,Brighton & Hove Albion,Ipswich Town,4.9,0.5,0.0
Antoine Semenyo,MID,Bournemouth,Chelsea,5.6,1.0,3.59
Will Dennis,GK,Bournemouth,Chelsea,4.0,1.0,0.0
Joe Lumley,GK,Southampton,Manchester United,4.0,1.0,0.0
Dwight McNeil,MID,Everton,Aston Villa,5.1,0.0,0.0
Kim Ji-soo,DEF,Brentford,Manchester City,3.9,1.0,0.31
Franco Umeh-Chibueze,MID,Crystal Palace,Leicester City,4.4,0.25,0.0
Nathaniel Clyne,DEF,Crystal Palace,Leicester City,4.3,1.0,-0.03
Saša Lukić,MID,Fulham,West Ham United,4.8,1.0,1.83
Kevin De Bruyne,MID,Manchester City,Brentford,9.4,1.0,2.91
Norberto Murara Neto,GK,Arsenal,Tottenham Hotspur,4.1,1.0,0.0
Tyrell Malacia,DEF,Manchester United,Southampton,4.4,1.0,0.17
Lewis Dunk,DEF,Brighton & Hove Albion,Ipswich Town,4.3,1.0,1.63
Antony Matheus dos Santos,MID,Manchester United,Southampton,5.7,1.0,0.61
Ibrahima Konaté,DEF,Liverpool,Nottingham Forest,5.1,1.0,0.21
Chadi Riad Dnanou,DEF,Crystal Palace,Leicester City,4.3,1.0,0.0
Levi Colwill,DEF,Chelsea,Bournemouth,4.6,1.0,3.38
Nick Pope,GK,Newcastle United,Wolverhampton Wanderers,4.9,0.25,0.0
Jorge Luiz Frello Filho,MID,Arsenal,Tottenham Hotspur,4.7,1.0,0.47
Oliwier Zych,GK,Aston Villa,Everton,4.0,1.0,0.0
Idrissa Gueye,MID,Everton,Aston Villa,4.8,1.0,1.98
Joe Gomez,DEF,Liverpool,Nottingham Forest,4.8,0.0,0.39
Dominic Calvert-Lewin,FWD,Everton,Aston Villa,5.4,0.75,1.52
Yerson Mosquera,DEF,Wolverhampton Wanderers,Newcastle United,3.9,0.0,0.0
Sil Swinkels,DEF,Aston Villa,Everton,4.0,1.0,0.0
Konstantinos Tsimikas,DEF,Liverpool,Nottingham Forest,4.6,1.0,0.34
Christian Nørgaard,MID,Brentford,Manchester City,4.8,1.0,2.07
Emiliano Martínez Romero,GK,Aston Villa,Everton,5.0,0.75,2.15
Declan Rice,MID,Arsenal,Tottenham Hotspur,6.2,1.0,2.98
Gabriel dos Santos Magalhães,DEF,Arsenal,Tottenham Hotspur,6.4,1.0,4.22
Cody Gakpo,FWD,Liverpool,Nottingham Forest,7.4,1.0,6.33
Salah-Eddine Oulad M'hand,MID,Arsenal,Tottenham Hotspur,4.5,1.0,0.0
Vitaly Janelt,MID,Brentford,Manchester City,4.9,1.0,1.71
Adama Traoré,MID,Fulham,West Ham United,4.7,1.0,1.08
Tommy Setford,GK,Arsenal,Tottenham Hotspur,4.5,1.0,0.0
Alexis Mac Allister,MID,Liverpool,Nottingham Forest,6.2,1.0,4.72
Endo Wataru,MID,Liverpool,Nottingham Forest,4.6,1.0,0.29
Keane Lewis-Potter,MID,Brentford,Manchester City,5.0,1.0,2.79
Michael Golding,MID,Leicester City,Crystal Palace,4.4,1.0,0.0
João Félix Sequeira,MID,Chelsea,Bournemouth,6.0,1.0,0.16
Remi Matthews,GK,Crystal Palace,Leicester City,3.9,1.0,0.0
Emile Smith Rowe,MID,Fulham,West Ham United,5.3,1.0,0.38
Enes Ünal,FWD,Bournemouth,Chelsea,5.4,0.0,1.22
Lucas Bergström,GK,Chelsea,Bournemouth,3.9,1.0,0.0
Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,Chelsea,5.8,0.0,1.92
Gabriel Fernando de Jesus,FWD,Arsenal,Tottenham Hotspur,6.9,0.0,6.27
Iliman Ndiaye,FWD,Everton,Aston Villa,5.4,1.0,2.16
David Raya Martin,GK,Arsenal,Tottenham Hotspur,5.6,1.0,4.06
Enso González,MID,Wolverhampton Wanderers,Newcastle United,4.4,0.0,0.0
Christopher Nkunku,MID,Chelsea,Bournemouth,5.8,1.0,0.86
Manuel Akanji,DEF,Manchester City,Brentford,5.3,1.0,2.22
Ryan Gravenberch,MID,Liverpool,Nottingham Forest,5.0,1.0,2.16
Joe Willock,MID,Newcastle United,Wolverhampton Wanderers,4.8,0.75,2.1
Mark Flekken,GK,Brentford,Manchester City,4.4,1.0,3.21
Lewis Cook,MID,Bournemouth,Chelsea,5.0,1.0,2.43
Alex Iwobi,MID,Fulham,West Ham United,5.9,1.0,2.07
Ethan Nwaneri,MID,Arsenal,Tottenham Hotspur,4.5,0.0,1.44
Ross Stewart,FWD,Southampton,Manchester United,4.4,0.0,0.0
Matt Doherty,DEF,Wolverhampton Wanderers,Newcastle United,4.3,1.0,2.57
Ilkay Gündogan,MID,Manchester City,Brentford,6.4,1.0,1.18
Isaac Hayden,MID,Newcastle United,Wolverhampton Wanderers,4.4,1.0,0.0
Conor Bradley,DEF,Liverpool,Nottingham Forest,4.7,1.0,0.21
Tom Cairney,MID,Fulham,West Ham United,4.8,1.0,1.12
Jarell Quansah,DEF,Liverpool,Nottingham Forest,3.9,1.0,0.24
Jacob Ramsey,MID,Aston Villa,Everton,5.4,1.0,0.52
Emiliano Buendía Stati,MID,Aston Villa,Everton,5.1,1.0,0.58
James McAtee,MID,Manchester City,Brentford,4.6,1.0,0.5
Andrew Robertson,DEF,Liverpool,Nottingham Forest,5.9,1.0,1.06
Youri Tielemans,MID,Aston Villa,Everton,5.5,1.0,1.77
João Neves Virgínia,GK,Everton,Aston Villa,3.9,1.0,0.0
Oleksandr Zinchenko,DEF,Arsenal,Tottenham Hotspur,4.8,1.0,0.08
Ederson Santana de Moraes,GK,Manchester City,Brentford,5.3,1.0,0.1
Norberto Bercique Gomes Betuncal,FWD,Everton,Aston Villa,4.9,1.0,0.57
Diogo Dalot Teixeira,DEF,Manchester United,Southampton,5.0,0.0,0.83
Danny Welbeck,FWD,Brighton & Hove Albion,Ipswich Town,5.5,1.0,0.0
Yankuba Minteh,MID,Brighton & Hove Albion,Ipswich Town,5.0,0.75,1.01
Nathan Aké,DEF,Manchester City,Brentford,5.3,1.0,1.74
Bernd Leno,GK,Fulham,West Ham United,5.0,1.0,3.0
Jamaal Lascelles,DEF,Newcastle United,Wolverhampton Wanderers,4.5,0.0,0.0
Axel Disasi,DEF,Chelsea,Bournemouth,4.2,1.0,2.18
Ismeal Kabia,MID,Arsenal,Tottenham Hotspur,4.5,1.0,0.0
Kevin Schade,MID,Brentford,Manchester City,5.1,1.0,3.15
Victor Kristiansen,DEF,Leicester City,Crystal Palace,4.5,1.0,0.62
Kyle Walker-Peters,DEF,Southampton,Manchester United,4.3,1.0,1.38
Daniel Bentley,GK,Wolverhampton Wanderers,Newcastle United,3.9,1.0,0.0
Antonee Robinson,DEF,Fulham,West Ham United,5.0,1.0,3.26
Patson Daka,FWD,Leicester City,Crystal Palace,4.8,1.0,1.09
Illia Zabarnyi,DEF,Bournemouth,Chelsea,4.4,1.0,5.09
Gavin Bazunu,GK,Southampton,Manchester United,4.3,0.75,0.0
Sven Botman,DEF,Newcastle United,Wolverhampton Wanderers,4.4,0.75,0.37
Danny Ward,GK,Leicester City,Crystal Palace,4.0,1.0,0.39
Samuel Amo-Ameyaw,MID,Southampton,Manchester United,4.4,1.0,0.0
Joe Gauci,GK,Aston Villa,Everton,4.0,1.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton & Hove Albion,Ipswich Town,5.7,0.75,3.57
Justin Kluivert,MID,Bournemouth,Chelsea,5.5,1.0,3.8
Martin Dúbravka,GK,Newcastle United,Wolverhampton Wanderers,4.2,1.0,4.82
Flynn Downes,MID,Southampton,Manchester United,4.8,0.75,1.07
Alejandro Garnacho,MID,Manchester United,Southampton,6.0,1.0,0.72
Jack Grealish,MID,Manchester City,Brentford,6.4,1.0,0.53
Simon Adingra,MID,Brighton & Hove Albion,Ipswich Town,5.2,1.0,1.25
Ben Mee,DEF,Brentford,Manchester City,4.2,1.0,1.25
Leon Chiwome,FWD,Wolverhampton Wanderers,Newcastle United,4.5,1.0,0.0
Harrison Armstrong,MID,Everton,Aston Villa,4.5,1.0,0.15
Carney Chukwuemeka,MID,Chelsea,Bournemouth,4.8,1.0,0.0
Tom King,GK,Wolverhampton Wanderers,Newcastle United,4.0,1.0,0.0
Wout Faes,DEF,Leicester City,Crystal Palace,4.0,1.0,0.68
Leny Yoro,DEF,Manchester United,Southampton,4.3,1.0,0.34
Pedro Lomba Neto,MID,Chelsea,Bournemouth,6.2,1.0,1.29
Ian Maatsen,DEF,Aston Villa,Everton,4.5,1.0,0.87
Harry Winks,MID,Leicester City,Crystal Palace,4.5,1.0,1.41
Mads Roerslev Rasmussen,DEF,Brentford,Manchester City,4.3,1.0,2.61
Jurriën Timber,DEF,Arsenal,Tottenham Hotspur,5.7,1.0,2.4
Saša Kalajdžić,FWD,Wolverhampton Wanderers,Newcastle United,4.8,0.0,0.0
Julio Enciso,MID,Brighton & Hove Albion,Ipswich Town,5.4,1.0,1.13
Ayden Heaven,DEF,Arsenal,Tottenham Hotspur,4.0,1.0,0.0
Marc Cucurella Saseta,DEF,Chelsea,Bournemouth,5.2,1.0,1.35
Toti António Gomes,DEF,Wolverhampton Wanderers,Newcastle United,4.3,0.0,3.65
Dan Burn,DEF,Newcastle United,Wolverhampton Wanderers,4.4,1.0,4.56
Jordan Pickford,GK,Everton,Aston Villa,5.0,1.0,7.79
Boubacar Traoré,MID,Wolverhampton Wanderers,Newcastle United,4.8,0.5,0.0
Mikkel Damsgaard,MID,Brentford,Manchester City,5.0,1.0,3.32
Luis Díaz,MID,Liverpool,Nottingham Forest,7.6,1.0,1.88
Carlos Vinícius Alves Morais,FWD,Fulham,West Ham United,5.0,1.0,0.18
Pervis Estupiñán,DEF,Brighton & Hove Albion,Ipswich Town,5.0,1.0,1.76
James Milner,MID,Brighton & Hove Albion,Ipswich Town,5.0,0.0,0.0
Ryan Trevitt,MID,Brentford,Manchester City,4.4,1.0,0.0
Enzo Fernández,MID,Chelsea,Bournemouth,5.0,1.0,2.16
Luke Shaw,DEF,Manchester United,Southampton,4.9,0.25,0.0
Fábio Freitas Gouveia Carvalho,MID,Brentford,Manchester City,4.6,1.0,0.53
Jérémy Doku,MID,Manchester City,Brentford,6.2,1.0,1.34
Marcus Bettinelli,GK,Chelsea,Bournemouth,3.9,1.0,0.0
Alisson Ramses Becker,GK,Liverpool,Nottingham Forest,5.4,1.0,2.02
Aaron Hickey,DEF,Brentford,Manchester City,4.3,0.0,0.0
Alex McCarthy,GK,Southampton,Manchester United,4.3,1.0,0.07
Steven Benda,GK,Fulham,West Ham United,4.0,1.0,0.0
Dean Henderson,GK,Crystal Palace,Leicester City,4.5,0.75,3.28
Cheick Doucouré,MID,Crystal Palace,Leicester City,4.9,1.0,1.31
Wilfred Ndidi,MID,Leicester City,Crystal Palace,4.9,0.0,0.0
Maxence Lacroix,DEF,Crystal Palace,Leicester City,4.5,1.0,2.02
John Ruddy,GK,Newcastle United,Wolverhampton Wanderers,4.0,1.0,0.0
Caleb Okoli,DEF,Leicester City,Crystal Palace,4.0,1.0,0.72
Odysseas Vlachodimos,GK,Newcastle United,Wolverhampton Wanderers,4.3,1.0,0.0
Daichi Kamada,MID,Crystal Palace,Leicester City,5.1,1.0,1.12
Reece James,DEF,Chelsea,Bournemouth,4.8,1.0,0.0
Georginio Rutter,MID,Brighton & Hove Albion,Ipswich Town,5.2,0.75,1.18
Santiago Bueno,DEF,Wolverhampton Wanderers,Newcastle United,4.3,1.0,2.4
Kenny Tete,DEF,Fulham,West Ham United,4.4,0.0,0.08
Pablo Sarabia,MID,Wolverhampton Wanderers,Newcastle United,5.0,1.0,0.23
Diogo Teixeira da Silva,MID,Liverpool,Nottingham Forest,7.2,1.0,2.73
Kortney Hause,DEF,Aston Villa,Everton,3.9,1.0,0.0
Tino Livramento,DEF,Newcastle United,Wolverhampton Wanderers,4.5,1.0,3.44
Tyler Adams,MID,Bournemouth,Chelsea,4.9,1.0,0.85
Marcus Rashford,MID,Manchester United,Southampton,6.6,1.0,0.0
Daniel Muñoz,DEF,Crystal Palace,Leicester City,4.7,1.0,2.12
Bruno Guimarães Rodriguez Moura,MID,Newcastle United,Wolverhampton Wanderers,6.1,1.0,6.62
Charlie Taylor,DEF,Southampton,Manchester United,3.9,1.0,0.02
Bryan Mbeumo,MID,Brentford,Manchester City,7.8,1.0,6.82
Matty Cash,DEF,Aston Villa,Everton,4.4,1.0,1.23
