name,position,element,team,opponent_team,price,condition,xTotPoints,total_points
Kosta Nedeljković,DEF,50,Aston Villa,Brighton & Hove Albion,3.9,1.0,0.13,0
Sepp van den Berg,DEF,338,Brentford,Arsenal,4.1,0.5,0.18,1
Jarrad Branthwaite,DEF,219,Everton,Nottingham Forest,4.8,1.0,2.76,0
Ferdi Kadioglu,DEF,628,Brighton & Hove Albion,Aston Villa,4.5,0.25,0.0,0
Kyle Walker,DEF,363,Manchester City,Leicester City,5.2,0.75,0.53,1
Ricardo Barbosa Pereira,DEF,302,Leicester City,Manchester City,4.1,0.0,0.0,0
Rúben Gato Alves Dias,DEF,361,Manchester City,Leicester City,5.4,0.0,1.22,0
Ben Chilwell,DEF,160,Chelsea,Ipswich Town,4.7,1.0,0.0,0
Tyrick Mitchell,DEF,210,Crystal Palace,Southampton,4.8,1.0,6.76,2
Armel Bella-Kotchap,DEF,456,Southampton,Crystal Palace,3.9,1.0,0.0,0
Lamare Bogarde,DEF,598,Aston Villa,Brighton & Hove Albion,4.0,1.0,0.0,0
Noussair Mazraoui,DEF,594,Manchester United,Newcastle United,4.5,1.0,0.82,1
Ezri Konsa Ngoyo,DEF,44,Aston Villa,Brighton & Hove Albion,4.4,1.0,2.48,1
Virgil van Dijk,DEF,339,Liverpool,West Ham United,6.5,1.0,2.02,6
Juan Larios López,DEF,464,Southampton,Crystal Palace,4.0,0.0,0.0,0
Ethan Pinnock,DEF,104,Brentford,Arsenal,4.5,0.0,0.46,0
William Saliba,DEF,18,Arsenal,Brentford,6.3,1.0,8.47,2
Chris Richards,DEF,194,Crystal Palace,Southampton,4.4,1.0,0.07,2
Rayan Aït-Nouri,DEF,533,Wolverhampton Wanderers,Tottenham Hotspur,4.8,1.0,1.16,10
James Justin,DEF,295,Leicester City,Manchester City,4.3,1.0,0.69,2
Michael Keane,DEF,228,Everton,Nottingham Forest,4.0,1.0,0.0,0
Diego Carlos Santos Silva,DEF,35,Aston Villa,Brighton & Hove Albion,4.5,1.0,1.21,1
Trent Alexander-Arnold,DEF,311,Liverpool,West Ham United,7.1,1.0,2.69,15
Riccardo Calafiori,DEF,578,Arsenal,Brentford,5.8,1.0,0.47,1
Jan Bednarek,DEF,455,Southampton,Crystal Palace,4.0,1.0,1.18,0
Wesley Fofana,DEF,189,Chelsea,Ipswich Town,4.4,0.0,0.0,0
Lucas Digne,DEF,36,Aston Villa,Brighton & Hove Albion,4.6,1.0,1.55,1
Matthijs de Ligt,DEF,593,Manchester United,Newcastle United,5.0,1.0,0.45,1
Kim Ji-soo,DEF,96,Brentford,Arsenal,3.9,1.0,0.13,1
Nathaniel Clyne,DEF,196,Crystal Palace,Southampton,4.3,1.0,-0.07,0
Tyrell Malacia,DEF,379,Manchester United,Newcastle United,4.4,1.0,0.15,0
Lewis Dunk,DEF,120,Brighton & Hove Albion,Aston Villa,4.4,1.0,2.69,1
Ibrahima Konaté,DEF,326,Liverpool,West Ham United,5.1,0.0,0.0,0
Chadi Riad Dnanou,DEF,195,Crystal Palace,Southampton,4.3,0.75,0.0,0
Levi Colwill,DEF,162,Chelsea,Ipswich Town,4.6,1.0,2.26,0
Joe Gomez,DEF,322,Liverpool,West Ham United,4.9,1.0,2.0,1
Yerson Mosquera,DEF,558,Wolverhampton Wanderers,Tottenham Hotspur,3.9,0.0,0.0,0
Sil Swinkels,DEF,640,Aston Villa,Brighton & Hove Albion,4.0,1.0,0.0,0
Konstantinos Tsimikas,DEF,337,Liverpool,West Ham United,4.6,1.0,0.15,1
Gabriel dos Santos Magalhães,DEF,3,Arsenal,Brentford,6.3,1.0,3.7,2
Manuel Akanji,DEF,340,Manchester City,Leicester City,5.3,1.0,0.39,7
Matt Doherty,DEF,543,Wolverhampton Wanderers,Tottenham Hotspur,4.3,1.0,2.53,1
Conor Bradley,DEF,313,Liverpool,West Ham United,4.7,0.0,0.0,0
Jarell Quansah,DEF,333,Liverpool,West Ham United,3.9,1.0,0.3,1
Andrew Robertson,DEF,335,Liverpool,West Ham United,5.9,1.0,1.39,6
Oleksandr Zinchenko,DEF,25,Arsenal,Brentford,4.8,1.0,0.8,1
Diogo Dalot Teixeira,DEF,369,Manchester United,Newcastle United,5.1,1.0,1.09,1
Nathan Aké,DEF,341,Manchester City,Leicester City,5.3,1.0,0.97,6
Jamaal Lascelles,DEF,407,Newcastle United,Manchester United,4.5,0.0,0.0,0
Axel Disasi,DEF,167,Chelsea,Ipswich Town,4.2,1.0,1.74,1
Victor Kristiansen,DEF,296,Leicester City,Manchester City,4.5,1.0,1.18,1
Kyle Walker-Peters,DEF,476,Southampton,Crystal Palace,4.3,1.0,2.61,1
Antonee Robinson,DEF,255,Fulham,Bournemouth,4.9,1.0,3.42,4
Illia Zabarnyi,DEF,85,Bournemouth,Fulham,4.4,1.0,5.09,1
Sven Botman,DEF,393,Newcastle United,Manchester United,4.4,0.5,0.0,0
Ronnie Edwards,DEF,460,Southampton,Crystal Palace,3.9,1.0,0.07,0
Ben Mee,DEF,100,Brentford,Arsenal,4.2,0.75,1.26,0
Wout Faes,DEF,291,Leicester City,Manchester City,4.0,0.5,0.78,0
Leny Yoro,DEF,572,Manchester United,Newcastle United,4.3,1.0,0.44,1
Ian Maatsen,DEF,45,Aston Villa,Brighton & Hove Albion,4.6,1.0,0.43,1
Mads Roerslev Rasmussen,DEF,105,Brentford,Arsenal,4.3,1.0,1.74,1
Jurriën Timber,DEF,6,Arsenal,Brentford,5.7,1.0,6.17,1
Ayden Heaven,DEF,658,Arsenal,Brentford,4.0,1.0,0.0,0
Marc Cucurella Saseta,DEF,163,Chelsea,Ipswich Town,5.2,1.0,2.06,1
Toti António Gomes,DEF,567,Wolverhampton Wanderers,Tottenham Hotspur,4.3,1.0,3.1,0
Dan Burn,DEF,395,Newcastle United,Manchester United,4.4,1.0,4.46,7
Pervis Estupiñán,DEF,122,Brighton & Hove Albion,Aston Villa,5.1,1.0,1.86,0
Luke Shaw,DEF,387,Manchester United,Newcastle United,4.9,0.0,0.0,0
Aaron Hickey,DEF,93,Brentford,Arsenal,4.3,0.0,0.0,0
Maxence Lacroix,DEF,650,Crystal Palace,Southampton,4.5,1.0,3.18,2
Caleb Okoli,DEF,301,Leicester City,Manchester City,4.0,1.0,0.15,1
Reece James,DEF,172,Chelsea,Ipswich Town,4.8,0.0,0.0,0
Santiago Bueno,DEF,564,Wolverhampton Wanderers,Tottenham Hotspur,4.3,1.0,2.3,1
Kenny Tete,DEF,257,Fulham,Bournemouth,4.5,0.0,1.1,0
Kortney Hause,DEF,40,Aston Villa,Brighton & Hove Albion,3.9,1.0,0.0,0
Bastien Meupiyou,DEF,637,Wolverhampton Wanderers,Tottenham Hotspur,4.0,1.0,0.0,0
Tino Livramento,DEF,409,Newcastle United,Manchester United,4.5,0.75,3.01,1
Daniel Muñoz,DEF,211,Crystal Palace,Southampton,4.7,1.0,3.4,2
Charlie Taylor,DEF,475,Southampton,Crystal Palace,3.9,1.0,0.0,0
Matty Cash,DEF,32,Aston Villa,Brighton & Hove Albion,4.4,0.0,1.36,0
Issa Diop,DEF,245,Fulham,Bournemouth,4.4,1.0,2.37,1
Igor Julio dos Santos de Paulo,DEF,128,Brighton & Hove Albion,Aston Villa,4.4,1.0,0.12,0
Pedro Cardoso de Lima,DEF,561,Wolverhampton Wanderers,Tottenham Hotspur,3.9,1.0,0.0,0
Nathan Collins,DEF,88,Brentford,Arsenal,4.6,1.0,1.1,1
Marc Guéhi,DEF,200,Crystal Palace,Southampton,4.5,0.0,2.66,0
Kieran Trippier,DEF,418,Newcastle United,Manchester United,5.6,1.0,2.03,1
John Stones,DEF,362,Manchester City,Leicester City,5.3,0.5,0.18,0
Jayden Meghoma,DEF,649,Brentford,Arsenal,4.0,1.0,0.06,0
Lewis Hall,DEF,399,Newcastle United,Manchester United,4.7,1.0,3.76,12
Calvin Bassey,DEF,241,Fulham,Bournemouth,4.5,1.0,1.82,1
Tosin Adarabioyo,DEF,187,Chelsea,Ipswich Town,4.2,1.0,2.55,1
Matt Targett,DEF,416,Newcastle United,Manchester United,4.0,1.0,0.31,0
Jan Paul van Hecke,DEF,144,Brighton & Hove Albion,Aston Villa,4.5,1.0,2.31,1
Jorge Cuenca Barreno,DEF,586,Fulham,Bournemouth,4.4,1.0,0.45,0
Rico Lewis,DEF,355,Manchester City,Leicester City,4.6,1.0,1.0,6
Julián Araujo Zúñiga,DEF,592,Bournemouth,Fulham,4.3,0.0,0.0,0
James Tarkowski,DEF,236,Everton,Nottingham Forest,4.8,1.0,2.71,0
Joël Veltman,DEF,145,Brighton & Hove Albion,Aston Villa,4.5,1.0,1.88,0
Tyrone Mings,DEF,49,Aston Villa,Brighton & Hove Albion,4.4,1.0,0.17,1
Malo Gusto,DEF,171,Chelsea,Ipswich Town,4.9,1.0,2.54,0
Lloyd Kelly,DEF,404,Newcastle United,Manchester United,4.2,1.0,0.0,0
Dean Huijsen,DEF,580,Bournemouth,Fulham,4.4,1.0,7.1,1
Max Aarons,DEF,59,Bournemouth,Fulham,4.3,1.0,0.78,1
Nathan Wood-Gordon,DEF,477,Southampton,Crystal Palace,4.0,1.0,2.12,1
Benjamin White,DEF,24,Arsenal,Brentford,6.1,0.0,0.0,0
Harry Maguire,DEF,377,Manchester United,Newcastle United,4.9,1.0,1.02,1
Victor Lindelöf,DEF,376,Manchester United,Newcastle United,4.3,0.25,0.46,0
Maldini Kacurri,DEF,657,Arsenal,Brentford,4.0,1.0,0.0,0
Emil Krafth,DEF,405,Newcastle United,Manchester United,4.3,0.0,0.0,0
Jakub Kiwior,DEF,8,Arsenal,Brentford,4.8,1.0,0.94,0
Kristoffer Ajer,DEF,86,Brentford,Arsenal,4.4,0.0,0.62,0
Ashley Young,DEF,238,Everton,Nottingham Forest,4.7,1.0,3.53,1
James Bree,DEF,457,Southampton,Crystal Palace,3.9,1.0,0.38,1
Alex Scott,MID,77,Bournemouth,Fulham,4.7,0.0,0.0,0
Ben Brereton Díaz,MID,584,Southampton,Crystal Palace,4.9,1.0,0.27,0
Hwang Hee-chan,MID,550,Wolverhampton Wanderers,Tottenham Hotspur,6.1,1.0,1.23,7
João Victor Gomes da Silva,MID,553,Wolverhampton Wanderers,Tottenham Hotspur,4.9,1.0,1.0,2
Cole Palmer,MID,182,Chelsea,Ipswich Town,11.4,1.0,6.65,2
Mitoma Kaoru,MID,136,Brighton & Hove Albion,Aston Villa,6.5,1.0,2.08,1
Boubakary Soumaré,MID,285,Leicester City,Manchester City,4.4,1.0,0.92,1
Jeffrey Schlupp,MID,214,Crystal Palace,Southampton,4.7,1.0,0.13,0
Thomas Partey,MID,20,Arsenal,Brentford,5.0,1.0,1.92,5
Harry Wilson,MID,259,Fulham,Bournemouth,5.2,1.0,2.05,8
Kasey McAteer,MID,299,Leicester City,Manchester City,4.7,0.0,1.63,0
Curtis Jones,MID,324,Liverpool,West Ham United,5.3,1.0,3.18,6
Gustavo Nunes Fernandes Gomes,MID,634,Brentford,Arsenal,4.9,0.0,0.0,0
Yunus Emre Konak,MID,97,Brentford,Arsenal,4.5,1.0,0.05,0
Sávio 'Savinho' Moreira de Oliveira,MID,571,Manchester City,Leicester City,6.4,1.0,0.99,14
Abdoulaye Doucouré,MID,217,Everton,Nottingham Forest,5.1,1.0,2.19,2
Philip Billing,MID,76,Bournemouth,Fulham,4.8,1.0,1.07,1
Gonçalo Manuel Ganchinho Guedes,MID,548,Wolverhampton Wanderers,Tottenham Hotspur,5.3,1.0,3.35,1
Brajan Gruda,MID,595,Brighton & Hove Albion,Aston Villa,5.4,1.0,1.2,1
Rodrigo 'Rodri' Hernandez,MID,360,Manchester City,Leicester City,6.3,0.0,0.0,0
Justin Devenny,MID,645,Crystal Palace,Southampton,4.5,1.0,0.98,0
Jordan Ayew,MID,192,Leicester City,Manchester City,5.2,0.0,2.05,0
Kiernan Dewsbury-Hall,MID,166,Chelsea,Ipswich Town,5.5,0.25,0.06,0
Maxwel Cornet,MID,515,Southampton,Crystal Palace,4.7,1.0,0.0,0
Jefferson Lerma Solís,MID,206,Crystal Palace,Southampton,4.8,1.0,2.15,2
Bruno Borges Fernandes,MID,366,Manchester United,Newcastle United,8.4,0.0,2.68,0
Oliver Skipp,MID,501,Leicester City,Manchester City,4.8,1.0,0.58,0
Moisés Caicedo Corozo,MID,157,Chelsea,Ipswich Town,4.9,1.0,2.28,1
Carlos Henrique Casimiro,MID,368,Manchester United,Newcastle United,4.8,1.0,0.22,2
Jacob Murphy,MID,402,Newcastle United,Manchester United,5.0,1.0,6.38,3
Sean Longstaff,MID,410,Newcastle United,Manchester United,4.7,1.0,0.99,0
Ryan Christie,MID,63,Bournemouth,Fulham,4.9,1.0,4.43,1
Noni Madueke,MID,177,Chelsea,Ipswich Town,6.3,1.0,3.0,2
Tommy Doyle,MID,544,Wolverhampton Wanderers,Tottenham Hotspur,4.8,1.0,0.98,1
Lesley Ugochukwu,MID,188,Southampton,Crystal Palace,4.5,1.0,0.34,1
Christian Eriksen,MID,370,Manchester United,Newcastle United,5.3,1.0,0.22,2
Jean-Ricner Bellegarde,MID,535,Wolverhampton Wanderers,Tottenham Hotspur,4.9,1.0,0.96,0
Mateo Kovačić,MID,354,Manchester City,Leicester City,5.4,1.0,1.01,3
Phil Foden,MID,348,Manchester City,Leicester City,9.2,1.0,0.85,6
Mason Mount,MID,382,Manchester United,Newcastle United,6.3,0.0,0.54,0
Gabriel Martinelli Silva,MID,9,Arsenal,Brentford,6.8,1.0,2.64,9
Yasin Ayari,MID,600,Brighton & Hove Albion,Aston Villa,5.0,1.0,1.35,1
Mikel Merino,MID,633,Arsenal,Brentford,6.0,1.0,1.13,8
Facundo Buonanotte,MID,117,Leicester City,Manchester City,4.9,1.0,0.99,2
Ethan Brierley,MID,87,Brentford,Arsenal,4.4,1.0,0.0,0
Ismaïla Sarr,MID,585,Crystal Palace,Southampton,5.9,1.0,6.2,2
Josh Dasilva,MID,90,Brentford,Arsenal,4.8,0.0,0.0,0
Jadon Sancho,MID,386,Chelsea,Ipswich Town,6.2,1.0,2.0,1
Mohamed Salah,MID,328,Liverpool,West Ham United,13.6,1.0,12.34,16
Federico Chiesa,MID,636,Liverpool,West Ham United,6.8,1.0,0.0,0
Leandro Trossard,MID,23,Arsenal,Brentford,6.8,1.0,2.25,1
Miguel Almirón Rejala,MID,391,Newcastle United,Manchester United,5.5,1.0,0.45,0
James Garner,MID,223,Everton,Nottingham Forest,4.9,0.0,0.0,0
Marcus Tavernier,MID,83,Bournemouth,Fulham,5.4,0.0,0.72,0
Omari Kellyman,MID,173,Chelsea,Ipswich Town,4.4,0.0,0.0,0
Martial Godo,MID,605,Fulham,Bournemouth,4.5,1.0,0.0,0
Harrison Reed,MID,254,Fulham,Bournemouth,4.7,0.0,0.0,0
Will Alves,MID,606,Leicester City,Manchester City,4.5,1.0,0.0,1
Carlos Baleba,MID,115,Brighton & Hove Albion,Aston Villa,5.0,1.0,1.93,1
Ryan Fraser,MID,397,Southampton,Crystal Palace,4.8,1.0,0.23,0
Mathias Jensen,MID,95,Brentford,Arsenal,5.3,0.5,0.0,1
Dango Ouattara,MID,74,Bournemouth,Fulham,5.0,1.0,3.43,6
Yehor Yarmoliuk,MID,111,Brentford,Arsenal,4.4,1.0,1.11,2
Tyler Dibling,MID,608,Southampton,Crystal Palace,4.5,1.0,1.12,8
Orel Mangala,MID,651,Everton,Nottingham Forest,5.0,1.0,2.77,2
Bobby De Cordova-Reid,MID,290,Leicester City,Manchester City,5.2,1.0,3.49,0
Manuel Ugarte,MID,652,Manchester United,Newcastle United,4.9,0.0,1.12,0
Matheus Luiz Nunes,MID,356,Manchester City,Leicester City,4.9,0.5,1.88,0
Cameron Peupion,MID,140,Brighton & Hove Albion,Aston Villa,4.4,1.0,0.0,0
Mats Wieffer,MID,149,Brighton & Hove Albion,Aston Villa,4.7,0.75,1.3,0
Harvey Elliott,MID,319,Liverpool,West Ham United,5.2,1.0,0.6,1
Garang Kuol,MID,406,Newcastle United,Manchester United,4.4,1.0,0.0,0
Nico O'Reilly,MID,607,Manchester City,Leicester City,4.9,1.0,0.0,0
Kaden Rodney,MID,647,Crystal Palace,Southampton,4.5,1.0,0.0,0
Rodrigo Martins Gomes,MID,563,Wolverhampton Wanderers,Tottenham Hotspur,5.2,1.0,1.78,1
Bilal El Khannouss,MID,635,Leicester City,Manchester City,4.8,1.0,2.76,1
Toby Collyer,MID,613,Manchester United,Newcastle United,4.5,1.0,0.0,0
Asher Agbinone,MID,646,Crystal Palace,Southampton,4.5,1.0,0.0,0
Kadan Young,MID,656,Aston Villa,Brighton & Hove Albion,4.5,1.0,0.0,0
Martin Ødegaard,MID,13,Arsenal,Brentford,8.4,1.0,2.63,2
Cesare Casadei,MID,158,Chelsea,Ipswich Town,4.4,1.0,0.0,0
Jaden Philogene,MID,569,Aston Villa,Brighton & Hove Albion,5.3,1.0,0.23,0
Mario Lemina,MID,557,Wolverhampton Wanderers,Tottenham Hotspur,5.0,0.75,0.99,0
Adam Wharton,MID,216,Crystal Palace,Southampton,4.7,0.0,0.0,0
Luis Sinisterra,MID,80,Bournemouth,Fulham,4.8,0.0,0.0,0
Stephy Mavididi,MID,298,Leicester City,Manchester City,5.1,1.0,1.82,2
Anthony Gordon,MID,398,Newcastle United,Manchester United,7.3,1.0,6.6,6
Josh King,MID,604,Fulham,Bournemouth,4.5,1.0,0.54,1
Matt O'Riley,MID,629,Brighton & Hove Albion,Aston Villa,5.5,1.0,0.33,1
Jack Harrison,MID,224,Everton,Nottingham Forest,5.2,1.0,1.75,1
Luke Cundle,MID,540,Wolverhampton Wanderers,Tottenham Hotspur,4.5,1.0,0.0,0
Bukayo Saka,MID,17,Arsenal,Brentford,10.3,0.0,2.06,0
Hamza Choudhury,MID,287,Leicester City,Manchester City,4.3,1.0,0.47,1
Joe Aribo,MID,452,Southampton,Crystal Palace,4.9,1.0,2.15,1
Jack Hinshelwood,MID,126,Brighton & Hove Albion,Aston Villa,4.9,0.25,0.0,0
Antoine Semenyo,MID,78,Bournemouth,Fulham,5.6,1.0,2.74,5
Dwight McNeil,MID,230,Everton,Nottingham Forest,5.2,0.5,1.53,0
Franco Umeh-Chibueze,MID,644,Crystal Palace,Southampton,4.4,0.25,0.0,0
Saša Lukić,MID,249,Fulham,Bournemouth,4.8,1.0,1.39,2
Kevin De Bruyne,MID,345,Manchester City,Leicester City,9.4,1.0,3.56,3
Antony Matheus dos Santos,MID,365,Manchester United,Newcastle United,5.7,1.0,0.62,1
Jorge Luiz Frello Filho,MID,7,Arsenal,Brentford,4.7,1.0,0.57,1
Idrissa Gueye,MID,222,Everton,Nottingham Forest,4.8,1.0,2.01,1
Christian Nørgaard,MID,101,Brentford,Arsenal,4.8,1.0,3.07,1
Declan Rice,MID,16,Arsenal,Brentford,6.2,1.0,5.52,1
Salah-Eddine Oulad M'hand,MID,638,Arsenal,Brentford,4.5,1.0,0.0,0
Vitaly Janelt,MID,94,Brentford,Arsenal,4.9,1.0,1.48,2
Adama Traoré,MID,239,Fulham,Bournemouth,4.7,1.0,1.01,1
Alexis Mac Allister,MID,329,Liverpool,West Ham United,6.2,1.0,2.8,3
Endo Wataru,MID,320,Liverpool,West Ham United,4.6,1.0,0.0,1
Keane Lewis-Potter,MID,98,Brentford,Arsenal,5.0,1.0,1.99,2
Michael Golding,MID,292,Leicester City,Manchester City,4.4,1.0,0.0,0
João Félix Sequeira,MID,621,Chelsea,Ipswich Town,6.0,1.0,0.95,1
Emile Smith Rowe,MID,19,Fulham,Bournemouth,5.4,0.5,0.64,1
Enso González,MID,547,Wolverhampton Wanderers,Tottenham Hotspur,4.4,0.0,0.0,0
Christopher Nkunku,MID,181,Chelsea,Ipswich Town,5.8,1.0,2.14,2
Ryan Gravenberch,MID,323,Liverpool,West Ham United,5.0,1.0,1.31,4
Joe Willock,MID,420,Newcastle United,Manchester United,4.8,1.0,1.32,1
Lewis Cook,MID,64,Bournemouth,Fulham,5.0,1.0,1.67,2
Alex Iwobi,MID,247,Fulham,Bournemouth,5.8,1.0,2.31,2
Ethan Nwaneri,MID,12,Arsenal,Brentford,4.5,1.0,0.67,2
Ilkay Gündogan,MID,625,Manchester City,Leicester City,6.5,1.0,1.81,0
Isaac Hayden,MID,400,Newcastle United,Manchester United,4.4,1.0,0.0,0
Tom Cairney,MID,243,Fulham,Bournemouth,4.8,1.0,0.75,1
Jacob Ramsey,MID,53,Aston Villa,Brighton & Hove Albion,5.4,0.75,0.0,1
Emiliano Buendía Stati,MID,31,Aston Villa,Brighton & Hove Albion,5.1,1.0,0.52,0
James McAtee,MID,357,Manchester City,Leicester City,4.6,1.0,0.05,1
Youri Tielemans,MID,57,Aston Villa,Brighton & Hove Albion,5.5,1.0,1.27,2
Yankuba Minteh,MID,135,Brighton & Hove Albion,Aston Villa,5.1,1.0,1.04,1
Ismeal Kabia,MID,659,Arsenal,Brentford,4.5,1.0,0.0,0
Kevin Schade,MID,106,Brentford,Arsenal,5.1,1.0,2.27,1
Samuel Amo-Ameyaw,MID,451,Southampton,Crystal Palace,4.4,1.0,0.0,0
Justin Kluivert,MID,71,Bournemouth,Fulham,5.5,0.0,6.09,0
Flynn Downes,MID,518,Southampton,Crystal Palace,4.8,1.0,1.8,0
Alejandro Garnacho,MID,372,Manchester United,Newcastle United,6.0,1.0,1.21,1
Jack Grealish,MID,349,Manchester City,Leicester City,6.4,0.75,1.07,0
Simon Adingra,MID,113,Brighton & Hove Albion,Aston Villa,5.2,1.0,0.92,6
Harrison Armstrong,MID,603,Everton,Nottingham Forest,4.5,1.0,0.0,0
Carney Chukwuemeka,MID,161,Chelsea,Ipswich Town,4.8,1.0,0.0,0
Pedro Lomba Neto,MID,560,Chelsea,Ipswich Town,6.2,1.0,1.05,1
Harry Winks,MID,309,Leicester City,Manchester City,4.5,1.0,0.44,2
Julio Enciso,MID,121,Brighton & Hove Albion,Aston Villa,5.4,1.0,0.98,1
Boubacar Traoré,MID,534,Wolverhampton Wanderers,Tottenham Hotspur,4.8,0.0,0.0,0
Mikkel Damsgaard,MID,89,Brentford,Arsenal,5.0,1.0,2.18,5
Luis Díaz,MID,327,Liverpool,West Ham United,7.5,1.0,2.7,9
James Milner,MID,134,Brighton & Hove Albion,Aston Villa,5.0,0.25,0.0,0
Ryan Trevitt,MID,602,Brentford,Arsenal,4.4,1.0,0.0,0
Enzo Fernández,MID,168,Chelsea,Ipswich Town,5.1,1.0,2.95,1
Fábio Freitas Gouveia Carvalho,MID,314,Brentford,Arsenal,4.6,1.0,0.94,0
Jérémy Doku,MID,346,Manchester City,Leicester City,6.2,1.0,2.81,0
Cheick Doucouré,MID,193,Crystal Palace,Southampton,4.9,1.0,0.56,1
Wilfred Ndidi,MID,300,Leicester City,Manchester City,4.9,0.0,0.44,0
Daichi Kamada,MID,205,Crystal Palace,Southampton,5.1,1.0,0.35,1
Georginio Rutter,MID,618,Brighton & Hove Albion,Aston Villa,5.3,1.0,1.26,1
Pablo Sarabia,MID,565,Wolverhampton Wanderers,Tottenham Hotspur,5.0,0.0,0.0,0
Diogo Teixeira da Silva,MID,317,Liverpool,West Ham United,7.2,1.0,1.52,6
Tyler Adams,MID,60,Bournemouth,Fulham,4.9,1.0,0.95,0
Marcus Rashford,MID,385,Manchester United,Newcastle United,6.7,1.0,0.36,0
Bruno Guimarães Rodriguez Moura,MID,394,Newcastle United,Manchester United,6.1,1.0,3.7,3
Bryan Mbeumo,MID,99,Brentford,Arsenal,7.6,1.0,4.82,7
Adam Lallana,MID,463,Southampton,Crystal Palace,5.0,1.0,0.32,1
Sandro Tonali,MID,417,Newcastle United,Manchester United,5.5,1.0,1.91,3
Joelinton Cássio Apolinário de Lira,MID,403,Newcastle United,Manchester United,6.0,1.0,2.8,10
John McGinn,MID,48,Aston Villa,Brighton & Hove Albion,5.2,1.0,3.74,2
Oscar Bobb,MID,343,Manchester City,Leicester City,4.7,0.0,0.0,0
Jesper Lindstrøm,MID,577,Everton,Nottingham Forest,5.1,1.0,0.99,1
Bernardo Veiga de Carvalho e Silva,MID,342,Manchester City,Leicester City,6.3,1.0,3.08,3
David Brooks,MID,62,Bournemouth,Fulham,4.9,1.0,2.44,2
Solly March,MID,132,Brighton & Hove Albion,Aston Villa,6.5,1.0,0.55,0
Tyler Morton,MID,331,Liverpool,West Ham United,4.4,1.0,0.0,0
Matheus França de Oliveira,MID,208,Crystal Palace,Southampton,4.4,0.0,0.0,0
Andreas Hoelgebaum Pereira,MID,240,Fulham,Bournemouth,5.0,1.0,2.59,5
Amadou Onana,MID,233,Aston Villa,Brighton & Hove Albion,4.9,1.0,0.88,1
