name,position,element,team,opponent_team,price,condition,xTotPoints,total_points
Harry Wilson,MID,259,Fulham,Southampton,5.2,1.0,1.16,3
Kasey McAteer,MID,299,Leicester City,Wolverhampton Wanderers,4.7,1.0,1.63,0
Curtis Jones,MID,324,Liverpool,Tottenham Hotspur,5.3,1.0,2.24,1
Gustavo Nunes Fernandes Gomes,MID,634,Brentford,Nottingham Forest,4.9,0.0,0.0,0
Yunus Emre Konak,MID,97,Brentford,Nottingham Forest,4.5,1.0,0.0,1
Sávio 'Savinho' Moreira de Oliveira,MID,571,Manchester City,Aston Villa,6.4,1.0,1.16,1
Abdoulaye Doucouré,MID,217,Everton,Chelsea,5.1,1.0,2.61,3
Philip Billing,MID,76,Bournemouth,Manchester United,4.8,1.0,0.77,1
Gonçalo Manuel Ganchinho Guedes,MID,548,Wolverhampton Wanderers,Leicester City,5.3,1.0,0.93,13
Brajan Gruda,MID,595,Brighton & Hove Albion,West Ham United,5.4,1.0,0.36,2
Rodrigo 'Rodri' Hernandez,MID,360,Manchester City,Aston Villa,6.3,0.0,0.0,0
Justin Devenny,MID,645,Crystal Palace,Arsenal,4.5,1.0,1.1,1
Jordan Ayew,MID,192,Leicester City,Wolverhampton Wanderers,5.2,1.0,1.9,2
Kiernan Dewsbury-Hall,MID,166,Chelsea,Everton,5.5,1.0,0.34,0
Maxwel Cornet,MID,515,Southampton,Fulham,4.7,0.0,0.0,0
Jefferson Lerma Solís,MID,206,Crystal Palace,Arsenal,4.8,1.0,1.51,2
Bruno Borges Fernandes,MID,366,Manchester United,Bournemouth,8.4,1.0,7.39,2
Oliver Skipp,MID,501,Leicester City,Wolverhampton Wanderers,4.8,1.0,0.76,1
Moisés Caicedo Corozo,MID,157,Chelsea,Everton,4.9,1.0,3.43,3
Carlos Henrique Casimiro,MID,368,Manchester United,Bournemouth,4.8,1.0,0.66,0
Jacob Murphy,MID,402,Newcastle United,Ipswich Town,4.9,1.0,2.82,13
Sean Longstaff,MID,410,Newcastle United,Ipswich Town,4.7,1.0,1.09,1
Ryan Christie,MID,63,Bournemouth,Manchester United,4.9,1.0,2.21,7
Noni Madueke,MID,177,Chelsea,Everton,6.3,1.0,2.49,1
Tommy Doyle,MID,544,Wolverhampton Wanderers,Leicester City,4.8,1.0,0.64,1
Lesley Ugochukwu,MID,188,Southampton,Fulham,4.5,1.0,0.07,0
Christian Eriksen,MID,370,Manchester United,Bournemouth,5.3,1.0,0.15,0
Jean-Ricner Bellegarde,MID,535,Wolverhampton Wanderers,Leicester City,5.0,1.0,1.8,1
Mateo Kovačić,MID,354,Manchester City,Aston Villa,5.4,1.0,0.37,2
Phil Foden,MID,348,Manchester City,Aston Villa,9.1,1.0,1.07,9
Mason Mount,MID,382,Manchester United,Bournemouth,6.3,0.0,0.84,0
Gabriel Martinelli Silva,MID,9,Arsenal,Crystal Palace,6.7,1.0,1.25,7
Yasin Ayari,MID,600,Brighton & Hove Albion,West Ham United,5.0,1.0,2.0,1
Mikel Merino,MID,633,Arsenal,Crystal Palace,6.0,1.0,1.34,1
Facundo Buonanotte,MID,117,Leicester City,Wolverhampton Wanderers,4.9,1.0,1.92,1
Ethan Brierley,MID,87,Brentford,Nottingham Forest,4.4,1.0,0.0,0
Ismaïla Sarr,MID,585,Crystal Palace,Arsenal,5.7,1.0,8.27,7
Josh Dasilva,MID,90,Brentford,Nottingham Forest,4.8,0.0,0.0,0
Jadon Sancho,MID,386,Chelsea,Everton,6.2,1.0,2.63,3
Mohamed Salah,MID,328,Liverpool,Tottenham Hotspur,13.5,1.0,12.23,21
Federico Chiesa,MID,636,Liverpool,Tottenham Hotspur,6.8,1.0,0.0,0
Leandro Trossard,MID,23,Arsenal,Crystal Palace,6.8,1.0,3.22,3
Miguel Almirón Rejala,MID,391,Newcastle United,Ipswich Town,5.5,1.0,0.17,1
James Garner,MID,223,Everton,Chelsea,4.9,0.0,0.0,0
Marcus Tavernier,MID,83,Bournemouth,Manchester United,5.5,0.0,2.49,0
Omari Kellyman,MID,173,Chelsea,Everton,4.4,0.0,0.0,0
Martial Godo,MID,605,Fulham,Southampton,4.5,1.0,0.0,1
Harrison Reed,MID,254,Fulham,Southampton,4.7,0.0,0.0,0
Will Alves,MID,606,Leicester City,Wolverhampton Wanderers,4.5,1.0,0.0,0
Carlos Baleba,MID,115,Brighton & Hove Albion,West Ham United,5.0,1.0,1.27,2
Ryan Fraser,MID,397,Southampton,Fulham,4.8,1.0,1.1,0
Mathias Jensen,MID,95,Brentford,Nottingham Forest,5.3,0.0,0.31,0
Dango Ouattara,MID,74,Bournemouth,Manchester United,5.0,1.0,2.37,6
Yehor Yarmoliuk,MID,111,Brentford,Nottingham Forest,4.4,1.0,1.38,0
Tyler Dibling,MID,608,Southampton,Fulham,4.5,1.0,1.32,1
Orel Mangala,MID,651,Everton,Chelsea,5.0,1.0,2.58,3
Bobby De Cordova-Reid,MID,290,Leicester City,Wolverhampton Wanderers,5.2,1.0,1.79,1
Manuel Ugarte,MID,652,Manchester United,Bournemouth,4.9,1.0,1.32,0
Matheus Luiz Nunes,MID,356,Manchester City,Aston Villa,4.9,0.75,1.86,0
Cameron Peupion,MID,140,Brighton & Hove Albion,West Ham United,4.4,1.0,0.0,0
Mats Wieffer,MID,149,Brighton & Hove Albion,West Ham United,4.7,0.75,1.14,9
Harvey Elliott,MID,319,Liverpool,Tottenham Hotspur,5.2,1.0,0.37,1
Garang Kuol,MID,406,Newcastle United,Ipswich Town,4.4,1.0,0.0,0
Nico O'Reilly,MID,607,Manchester City,Aston Villa,4.9,1.0,0.0,0
Kaden Rodney,MID,647,Crystal Palace,Arsenal,4.5,1.0,0.0,0
Rodrigo Martins Gomes,MID,563,Wolverhampton Wanderers,Leicester City,5.2,1.0,0.99,8
Bilal El Khannouss,MID,635,Leicester City,Wolverhampton Wanderers,4.8,1.0,3.23,1
Toby Collyer,MID,613,Manchester United,Bournemouth,4.5,1.0,0.0,0
Asher Agbinone,MID,646,Crystal Palace,Arsenal,4.5,1.0,0.0,0
Kadan Young,MID,656,Aston Villa,Manchester City,4.5,1.0,0.0,0
Martin Ødegaard,MID,13,Arsenal,Crystal Palace,8.3,1.0,4.19,2
Cesare Casadei,MID,158,Chelsea,Everton,4.4,1.0,0.0,0
Jaden Philogene,MID,569,Aston Villa,Manchester City,5.3,1.0,0.56,0
Mario Lemina,MID,557,Wolverhampton Wanderers,Leicester City,5.0,1.0,2.11,0
Adam Wharton,MID,216,Crystal Palace,Arsenal,4.7,0.0,0.0,0
Luis Sinisterra,MID,80,Bournemouth,Manchester United,4.8,0.0,0.0,0
Stephy Mavididi,MID,298,Leicester City,Wolverhampton Wanderers,5.2,1.0,1.04,2
Anthony Gordon,MID,398,Newcastle United,Ipswich Town,7.2,1.0,3.34,6
Josh King,MID,604,Fulham,Southampton,4.5,1.0,0.19,3
Matt O'Riley,MID,629,Brighton & Hove Albion,West Ham United,5.5,1.0,0.25,0
Jack Harrison,MID,224,Everton,Chelsea,5.2,1.0,1.56,3
Luke Cundle,MID,540,Wolverhampton Wanderers,Leicester City,4.5,1.0,0.0,0
Bukayo Saka,MID,17,Arsenal,Crystal Palace,10.5,0.75,7.89,1
Hamza Choudhury,MID,287,Leicester City,Wolverhampton Wanderers,4.3,1.0,0.25,1
Joe Aribo,MID,452,Southampton,Fulham,4.9,1.0,2.36,1
Jack Hinshelwood,MID,126,Brighton & Hove Albion,West Ham United,4.9,0.0,0.0,0
Antoine Semenyo,MID,78,Bournemouth,Manchester United,5.6,1.0,1.47,8
Dwight McNeil,MID,230,Everton,Chelsea,5.3,0.5,2.29,0
Franco Umeh-Chibueze,MID,644,Crystal Palace,Arsenal,4.4,0.25,0.0,0
Saša Lukić,MID,249,Fulham,Southampton,4.8,1.0,1.27,1
Kevin De Bruyne,MID,345,Manchester City,Aston Villa,9.5,1.0,4.04,0
Antony Matheus dos Santos,MID,365,Manchester United,Bournemouth,5.7,1.0,0.39,0
Jorge Luiz Frello Filho,MID,7,Arsenal,Crystal Palace,4.7,1.0,1.24,0
Idrissa Gueye,MID,222,Everton,Chelsea,4.8,1.0,1.85,3
Christian Nørgaard,MID,101,Brentford,Nottingham Forest,4.8,1.0,1.23,2
Declan Rice,MID,16,Arsenal,Crystal Palace,6.2,1.0,3.35,11
Salah-Eddine Oulad M'hand,MID,638,Arsenal,Crystal Palace,4.5,1.0,0.0,0
Vitaly Janelt,MID,94,Brentford,Nottingham Forest,4.9,1.0,1.13,2
Adama Traoré,MID,239,Fulham,Southampton,4.7,1.0,0.64,1
Alexis Mac Allister,MID,329,Liverpool,Tottenham Hotspur,6.2,1.0,1.29,7
Endo Wataru,MID,320,Liverpool,Tottenham Hotspur,4.6,1.0,0.33,0
Keane Lewis-Potter,MID,98,Brentford,Nottingham Forest,5.0,1.0,1.57,2
Michael Golding,MID,292,Leicester City,Wolverhampton Wanderers,4.4,1.0,0.0,0
João Félix Sequeira,MID,621,Chelsea,Everton,6.0,1.0,1.28,0
Emile Smith Rowe,MID,19,Fulham,Southampton,5.4,1.0,1.26,0
Enso González,MID,547,Wolverhampton Wanderers,Leicester City,4.4,0.0,0.0,0
Christopher Nkunku,MID,181,Chelsea,Everton,5.8,1.0,2.01,1
Ryan Gravenberch,MID,323,Liverpool,Tottenham Hotspur,5.0,1.0,2.2,2
Joe Willock,MID,420,Newcastle United,Ipswich Town,4.8,1.0,0.99,3
Lewis Cook,MID,64,Bournemouth,Manchester United,5.0,1.0,1.55,1
Alex Iwobi,MID,247,Fulham,Southampton,5.8,1.0,5.14,3
Ethan Nwaneri,MID,12,Arsenal,Crystal Palace,4.5,1.0,0.85,1
Ilkay Gündogan,MID,625,Manchester City,Aston Villa,6.5,1.0,1.78,2
Isaac Hayden,MID,400,Newcastle United,Ipswich Town,4.4,1.0,0.0,0
Tom Cairney,MID,243,Fulham,Southampton,4.8,1.0,0.78,3
Jacob Ramsey,MID,53,Aston Villa,Manchester City,5.4,0.0,0.0,0
Emiliano Buendía Stati,MID,31,Aston Villa,Manchester City,5.1,1.0,0.42,1
James McAtee,MID,357,Manchester City,Aston Villa,4.6,1.0,0.23,0
Youri Tielemans,MID,57,Aston Villa,Manchester City,5.5,1.0,2.23,2
Yankuba Minteh,MID,135,Brighton & Hove Albion,West Ham United,5.1,1.0,1.58,1
Ismeal Kabia,MID,659,Arsenal,Crystal Palace,4.5,1.0,0.0,0
Kevin Schade,MID,106,Brentford,Nottingham Forest,5.1,1.0,2.27,2
Samuel Amo-Ameyaw,MID,451,Southampton,Fulham,4.4,1.0,0.0,0
Justin Kluivert,MID,71,Bournemouth,Manchester United,5.5,1.0,5.98,8
Flynn Downes,MID,518,Southampton,Fulham,4.8,1.0,1.91,2
Alejandro Garnacho,MID,372,Manchester United,Bournemouth,6.1,1.0,1.56,1
Jack Grealish,MID,349,Manchester City,Aston Villa,6.4,1.0,1.16,1
Simon Adingra,MID,113,Brighton & Hove Albion,West Ham United,5.2,1.0,0.99,0
Harrison Armstrong,MID,603,Everton,Chelsea,4.5,1.0,0.0,0
Carney Chukwuemeka,MID,161,Chelsea,Everton,4.8,1.0,0.0,0
Pedro Lomba Neto,MID,560,Chelsea,Everton,6.2,1.0,0.59,3
Harry Winks,MID,309,Leicester City,Wolverhampton Wanderers,4.5,1.0,0.07,1
Julio Enciso,MID,121,Brighton & Hove Albion,West Ham United,5.4,1.0,0.28,1
Boubacar Traoré,MID,534,Wolverhampton Wanderers,Leicester City,4.8,0.0,0.0,0
Mikkel Damsgaard,MID,89,Brentford,Nottingham Forest,5.0,1.0,3.13,1
Luis Díaz,MID,327,Liverpool,Tottenham Hotspur,7.4,1.0,2.31,13
James Milner,MID,134,Brighton & Hove Albion,West Ham United,5.0,0.0,0.0,0
Ryan Trevitt,MID,602,Brentford,Nottingham Forest,4.4,1.0,0.0,0
Enzo Fernández,MID,168,Chelsea,Everton,5.1,1.0,6.98,3
Fábio Freitas Gouveia Carvalho,MID,314,Brentford,Nottingham Forest,4.6,1.0,0.99,1
Jérémy Doku,MID,346,Manchester City,Aston Villa,6.2,1.0,3.6,1
Cheick Doucouré,MID,193,Crystal Palace,Arsenal,4.9,1.0,0.61,1
Wilfred Ndidi,MID,300,Leicester City,Wolverhampton Wanderers,5.0,0.0,1.13,0
Daichi Kamada,MID,205,Crystal Palace,Arsenal,5.1,1.0,0.26,2
Georginio Rutter,MID,618,Brighton & Hove Albion,West Ham United,5.5,1.0,2.02,2
Pablo Sarabia,MID,565,Wolverhampton Wanderers,Leicester City,5.1,0.0,0.0,0
Diogo Teixeira da Silva,MID,317,Liverpool,Tottenham Hotspur,7.2,1.0,1.18,1
Tyler Adams,MID,60,Bournemouth,Manchester United,4.9,1.0,1.26,3
Marcus Rashford,MID,385,Manchester United,Bournemouth,6.7,1.0,4.11,0
Bruno Guimarães Rodriguez Moura,MID,394,Newcastle United,Ipswich Town,6.1,1.0,2.02,7
Bryan Mbeumo,MID,99,Brentford,Nottingham Forest,7.6,1.0,5.82,2
Adam Lallana,MID,463,Southampton,Fulham,5.0,1.0,0.0,0
Sandro Tonali,MID,417,Newcastle United,Ipswich Town,5.5,1.0,1.41,3
Joelinton Cássio Apolinário de Lira,MID,403,Newcastle United,Ipswich Town,6.0,1.0,1.54,0
John McGinn,MID,48,Aston Villa,Manchester City,5.2,1.0,3.05,4
Oscar Bobb,MID,343,Manchester City,Aston Villa,4.7,0.0,0.0,0
Jesper Lindstrøm,MID,577,Everton,Chelsea,5.1,1.0,1.76,1
Bernardo Veiga de Carvalho e Silva,MID,342,Manchester City,Aston Villa,6.3,1.0,2.87,2
David Brooks,MID,62,Bournemouth,Manchester United,4.9,1.0,1.18,1
Solly March,MID,132,Brighton & Hove Albion,West Ham United,6.5,0.75,0.0,0
Tyler Morton,MID,331,Liverpool,Tottenham Hotspur,4.4,1.0,0.0,0
Matheus França de Oliveira,MID,208,Crystal Palace,Arsenal,4.4,0.0,0.0,0
Andreas Hoelgebaum Pereira,MID,240,Fulham,Southampton,5.0,1.0,2.15,0
Amadou Onana,MID,233,Aston Villa,Manchester City,4.9,1.0,0.37,2
Morgan Rogers,MID,54,Aston Villa,Manchester City,5.3,1.0,2.54,14
Reiss Nelson,MID,10,Fulham,Southampton,5.0,0.0,0.86,0
Kamaldeen Sulemana,MID,462,Southampton,Fulham,5.0,1.0,0.84,0
Amad Diallo,MID,364,Manchester United,Bournemouth,5.3,1.0,6.89,2
Mateus Gonçalo Espanha Fernandes,MID,623,Southampton,Fulham,5.0,1.0,2.25,3
Carlos Roberto Forbs Borges,MID,655,Wolverhampton Wanderers,Leicester City,5.5,1.0,0.17,1
André Trindade da Costa Neto,MID,642,Wolverhampton Wanderers,Leicester City,5.0,1.0,1.53,3
Lewis Miley,MID,411,Newcastle United,Ipswich Town,5.0,1.0,0.0,1
Abdul Fatawu,MID,570,Leicester City,Wolverhampton Wanderers,5.2,0.0,0.0,0
Dominik Szoboszlai,MID,336,Liverpool,Tottenham Hotspur,6.3,1.0,2.91,17
Tim Iroegbunam,MID,226,Everton,Chelsea,4.4,0.0,0.0,0
Roméo Lavia,MID,174,Chelsea,Everton,4.5,0.5,0.39,0
Leon Bailey,MID,28,Aston Villa,Manchester City,6.2,1.0,1.11,0
Harvey Barnes,MID,392,Newcastle United,Ipswich Town,6.1,1.0,1.91,1
Will Smallbone,MID,471,Southampton,Fulham,5.0,0.25,0.0,0
