name,position,nationality,team,season
Tino Anjorin,Midfielder,England,Chelsea,2020/21
Victor Moses,Defender,Nigeria,Chelsea,2020/21
Tiémoué Bakayoko,Midfielder,France,Chelsea,2020/21
Davide Zappacosta,Defender,Italy,Chelsea,2020/21
Ben Chrisene,Midfielder,England,Aston Villa,2020/21
Kaine Hayden,Midfielder,England,Aston Villa,2020/21
Arjan Raikhy,Midfielder,England,Aston Villa,2020/21
Brad Young,Midfielder,England,Aston Villa,2020/21
Mamadou Dialla Sylla,Midfielder,Spain,Aston Villa,2020/21
Lamare Bogarde,Defender,Netherlands,Aston Villa,2020/21
Hayden Lindley,Midfielder,England,Aston Villa,2020/21
Teddy Rowe,Midfielder,England,Aston Villa,2020/21
Taylor Jay-Hart,Midfielder,England,Aston Villa,2020/21
Mungo Bridge,Forward,England,Aston Villa,2020/21
Michael Tait,Forward,England,Aston Villa,2020/21
Louie Barry,Forward,England,Aston Villa,2020/21
Morgan Sanson,Midfielder,France,Aston Villa,2020/21
Carney Chukwuemeka,Midfielder,England,Aston Villa,2020/21
Jaden Philogene,Midfielder,England,Aston Villa,2020/21
Kaine Kesler-Hayden,Defender,England,Aston Villa,2020/21
Warren O'Hora,Defender,Ireland,Brighton & Hove Albion,2020/21
Bailey Peacock-Farrell,Goalkeeper,Northern Ireland,Burnley,2020/21
Matthew Lowton,Defender,England,Burnley,2020/21
Charlie Taylor,Defender,England,Burnley,2020/21
James Tarkowski,Defender,England,Burnley,2020/21
Ben Mee,Defender,England,Burnley,2020/21
Ben Gibson,Defender,England,Burnley,2020/21
Erik Pieters,Defender,Netherlands,Burnley,2020/21
Phil Bardsley,Defender,Scotland,Burnley,2020/21
Kevin Long,Defender,Ireland,Burnley,2020/21
Jack Cork,Midfielder,England,Burnley,2020/21
Jóhann Gudmundsson,Forward,Iceland,Burnley,2020/21
Josh Brownhill,Midfielder,England,Burnley,2020/21
Dwight McNeil,Midfielder,England,Burnley,2020/21
Robert Brady,Midfielder,Ireland,Burnley,2020/21
Ashley Westwood,Midfielder,England,Burnley,2020/21
Chris Wood,Forward,New Zealand,Burnley,2020/21
Ashley Barnes,Forward,England,Burnley,2020/21
Jay Rodriguez,Forward,England,Burnley,2020/21
Matej Vydra,Forward,Czech Republic,Burnley,2020/21
Josh Benson,Midfielder,England,Burnley,2020/21
Bobby Thomas,Defender,England,Burnley,2020/21
Joel Mumbongo,Forward,Sweden,Burnley,2020/21
Mace Goodridge,Midfielder,England,Burnley,2020/21
Ali Koiki,Defender,England,Burnley,2020/21
Anthony Glennon,Defender,England,Burnley,2020/21
Lukas Jensen,Goalkeeper,Denmark,Burnley,2020/21
Lewis Richardson,Midfielder,England,Burnley,2020/21
Max Thompson,Forward,England,Burnley,2020/21
Jimmy Dunne,Defender,Ireland,Burnley,2020/21
Will Norris,Goalkeeper,England,Burnley,2020/21
Dale Stephens,Midfielder,England,Burnley,2020/21
Anthony Mancini,Midfielder,France,Burnley,2020/21
Richard Nartey,Defender,England,Burnley,2020/21
Tino Livramento,Defender,England,Chelsea,2020/21
Vicente Guaita,Goalkeeper,Spain,Crystal Palace,2020/21
Nathan Ferguson,Defender,England,Crystal Palace,2020/21
Joel Ward,Defender,England,Crystal Palace,2020/21
Patrick van Aanholt,Defender,Netherlands,Crystal Palace,2020/21
James Tomkins,Defender,England,Crystal Palace,2020/21
Scott Dann,Defender,England,Crystal Palace,2020/21
Mamadou Sakho,Defender,France,Crystal Palace,2020/21
Gary Cahill,Defender,England,Crystal Palace,2020/21
Martin Kelly,Defender,England,Crystal Palace,2020/21
Luka Milivojevic,Midfielder,Serbia,Crystal Palace,2020/21
Max Meyer,Midfielder,Germany,Crystal Palace,2020/21
Cheikhou Kouyaté,Midfielder,Senegal,Crystal Palace,2020/21
Andros Townsend,Midfielder,England,Crystal Palace,2020/21
Jeffrey Schlupp,Midfielder,Ghana,Crystal Palace,2020/21
James McArthur,Midfielder,Scotland,Crystal Palace,2020/21
James McCarthy,Midfielder,Ireland,Crystal Palace,2020/21
Jairo Riedewald,Midfielder,Netherlands,Crystal Palace,2020/21
Jordan Ayew,Forward,Ghana,Crystal Palace,2020/21
Wilfried Zaha,Forward,Cote D’Ivoire,Crystal Palace,2020/21
Christian Benteke,Forward,Belgium,Crystal Palace,2020/21
Stephen Henderson,Goalkeeper,Ireland,Crystal Palace,2020/21
John-Kymani Gordon,Forward,England,Crystal Palace,2020/21
Nikola Tavares,Defender,Croatia,Crystal Palace,2020/21
Tyrick Mitchell,Defender,England,Crystal Palace,2020/21
Nya Kirby,Midfielder,England,Crystal Palace,2020/21
Brandon Pierrick,Forward,England,Crystal Palace,2020/21
Sam Woods,Defender,England,Crystal Palace,2020/21
Eberechi Eze,Midfielder,England,Crystal Palace,2020/21
Jaroslaw Jach,Defender,Poland,Crystal Palace,2020/21
Michy Batshuayi,Forward,Belgium,Crystal Palace,2020/21
Ryan Inniss,Defender,England,Crystal Palace,2020/21
Nathaniel Clyne,Defender,England,Crystal Palace,2020/21
Jack Butland,Goalkeeper,England,Crystal Palace,2020/21
Jean-Philippe Mateta,Forward,France,Crystal Palace,2020/21
Connor Wickham,Forward,England,Crystal Palace,2020/21
Reece Hannam,Defender,England,Crystal Palace,2020/21
John Ruddy,Goalkeeper,England,Wolverhampton Wanderers,2021/22
Andreas Söndergaard,Goalkeeper,Denmark,Wolverhampton Wanderers,2021/22
Ki-Jana Hoever,Defender,Netherlands,Wolverhampton Wanderers,2021/22
Rayan Aït-Nouri,Defender,Algeria,Wolverhampton Wanderers,2021/22
Marçal,Defender,Brazil,Wolverhampton Wanderers,2021/22
Willy-Arnaud Boly,Defender,Cote D’Ivoire,Wolverhampton Wanderers,2021/22
Conor Coady,Defender,England,Wolverhampton Wanderers,2021/22
Jonny,Defender,Spain,Wolverhampton Wanderers,2021/22
Nélson Semedo,Defender,Portugal,Wolverhampton Wanderers,2021/22
Lewis Richards,Defender,Ireland,Wolverhampton Wanderers,2021/22
Maximilian Kilman,Defender,England,Wolverhampton Wanderers,2021/22
Nigel Lonwijk,Defender,Netherlands,Wolverhampton Wanderers,2021/22
Hugo Bueno,Defender,Spain,Wolverhampton Wanderers,2021/22
Rúben Neves,Midfielder,Portugal,Wolverhampton Wanderers,2021/22
Daniel Podence,Midfielder,Portugal,Wolverhampton Wanderers,2021/22
Vitinha,Midfielder,Portugal,Wolverhampton Wanderers,2021/22
Taylor Perry,Midfielder,England,Wolverhampton Wanderers,2021/22
Romain Saïss,Midfielder,Morocco,Wolverhampton Wanderers,2021/22
João Moutinho,Midfielder,Portugal,Wolverhampton Wanderers,2021/22
Leander Dendoncker,Midfielder,Belgium,Wolverhampton Wanderers,2021/22
Luke Cundle,Midfielder,England,Wolverhampton Wanderers,2021/22
Owen Otasowie,Midfielder,United States,Wolverhampton Wanderers,2021/22
Pedro Neto,Forward,Portugal,Wolverhampton Wanderers,2021/22
Raúl Jiménez,Forward,Mexico,Wolverhampton Wanderers,2021/22
Willian José,Forward,Brazil,Wolverhampton Wanderers,2021/22
Fábio Silva,Forward,Portugal,Wolverhampton Wanderers,2021/22
Leonardo Campana,Forward,Ecuador,Wolverhampton Wanderers,2021/22
Adama Traoré,Forward,Spain,Wolverhampton Wanderers,2021/22
Theo Corbeanu,Forward,Canada,Wolverhampton Wanderers,2021/22
Yerson Mosquera,Defender,Colombia,Wolverhampton Wanderers,2021/22
Matija Sarkic,Goalkeeper,Montenegro,Wolverhampton Wanderers,2021/22
Rúben Vinagre,Defender,Portugal,Wolverhampton Wanderers,2021/22
Meritan Shabani,Midfielder,Germany,Wolverhampton Wanderers,2021/22
Rafa Mir,Forward,Spain,Wolverhampton Wanderers,2021/22
Trincão,Forward,Portugal,Wolverhampton Wanderers,2021/22
José Sá,Goalkeeper,Portugal,Wolverhampton Wanderers,2021/22
Bendegúz Bolla,Defender,Hungary,Wolverhampton Wanderers,2021/22
Chem Campbell,Midfielder,Wales,Wolverhampton Wanderers,2021/22
Hwang Hee-Chan,Forward,South Korea,Wolverhampton Wanderers,2021/22
James Storer,Goalkeeper,Ireland,Wolverhampton Wanderers,2021/22
Hayao Kawabe,Midfielder,Japan,Wolverhampton Wanderers,2021/22
Dexter Lembikisa,Defender,Jamaica,Wolverhampton Wanderers,2021/22
Chiquinho,Forward,Portugal,Wolverhampton Wanderers,2021/22
Toti Gomes,Defender,Portugal,Wolverhampton Wanderers,2021/22
Jesurun Rak-Sakyi,Midfielder,England,Crystal Palace,2020/21
Jeong Sang-Bin,Forward,South Korea,Wolverhampton Wanderers,2021/22
Connor Ronan,Midfielder,Ireland,Wolverhampton Wanderers,2021/22
Dion Sanderson,Defender,England,Wolverhampton Wanderers,2021/22
Morgan Gibbs-White,Midfielder,England,Wolverhampton Wanderers,2021/22
Renat Dadashov,Forward,Azerbaijan,Wolverhampton Wanderers,2021/22
Patrick Cutrone,Forward,Italy,Wolverhampton Wanderers,2021/22
Louie Moulden,Goalkeeper,England,Wolverhampton Wanderers,2021/22
Christian Marques,Defender,Portugal,Wolverhampton Wanderers,2021/22
Bruno Jordão,Midfielder,Portugal,Wolverhampton Wanderers,2021/22
Ryan Giles,Midfielder,England,Wolverhampton Wanderers,2021/22
Léo Bonatini,Forward,Brazil,Wolverhampton Wanderers,2021/22
Kamil Miazek,Goalkeeper,Poland,Leeds United,2020/21
Luke Ayling,Defender,England,Leeds United,2020/21
Barry Douglas,Defender,Scotland,Leeds United,2020/21
Liam Cooper,Defender,Scotland,Leeds United,2020/21
Gaetano Berardi,Defender,Switzerland,Leeds United,2020/21
Pascal Struijk,Defender,Netherlands,Leeds United,2020/21
Robbie Gotts,Defender,England,Leeds United,2020/21
Adam Forshaw,Midfielder,England,Leeds United,2020/21
Ezgjan Alioski,Midfielder,North Macedonia,Leeds United,2020/21
Stuart Dallas,Defender,Northern Ireland,Leeds United,2020/21
Pablo Hernández,Midfielder,Spain,Leeds United,2020/21
Kalvin Phillips,Midfielder,England,Leeds United,2020/21
Mateusz Klich,Midfielder,Poland,Leeds United,2020/21
Jamie Shackleton,Midfielder,England,Leeds United,2020/21
Jay-Roy Grot,Forward,Netherlands,Leeds United,2020/21
Ian Poveda,Forward,Colombia,Leeds United,2020/21
Patrick Bamford,Forward,England,Leeds United,2020/21
Tyler Roberts,Forward,Wales,Leeds United,2020/21
Ryan Edmondson,Forward,England,Leeds United,2020/21
Ben White,Defender,England,Leeds United,2020/21
Liam McCarron,Midfielder,Scotland,Leeds United,2020/21
Jordan Stevens,Midfielder,England,Leeds United,2020/21
Alfie McCalmont,Midfielder,Northern Ireland,Leeds United,2020/21
Conor Shaughnessy,Midfielder,Ireland,Leeds United,2020/21
Oliver Casey,Defender,England,Leeds United,2020/21
Bryce Hosannah,Defender,England,Leeds United,2020/21
Mateusz Bogusz,Midfielder,Poland,Leeds United,2020/21
Elia Caprile,Goalkeeper,Italy,Leeds United,2020/21
Leif Davis,Defender,England,Leeds United,2020/21
Laurens De Bock,Defender,Belgium,Leeds United,2020/21
Joe Gelhardt,Forward,England,Leeds United,2020/21
Jack Harrison,Midfielder,England,Leeds United,2020/21
Rodrigo,Forward,Spain,Leeds United,2020/21
Robin Koch,Defender,Germany,Leeds United,2020/21
Charlie Cresswell,Defender,England,Leeds United,2020/21
Diego Llorente,Defender,Spain,Leeds United,2020/21
Raphinha,Forward,Brazil,Leeds United,2020/21
Hélder Costa,Forward,Angola,Leeds United,2020/21
Jack Jenkins,Midfielder,England,Leeds United,2020/21
Sam Greenwood,Forward,England,Leeds United,2020/21
Niall Huggins,Forward,Wales,Leeds United,2020/21
Illan Meslier,Goalkeeper,France,Leeds United,2020/21
Crysencio Summerville,Midfielder,Netherlands,Leeds United,2020/21
Lee Grant,Goalkeeper,England,Manchester United,2020/21
Sergio Romero,Goalkeeper,Argentina,Manchester United,2020/21
Victor Lindelöf,Defender,Sweden,Manchester United,2020/21
Eric Bailly,Defender,Cote D’Ivoire,Manchester United,2020/21
Phil Jones,Defender,England,Manchester United,2020/21
Harry Maguire,Defender,England,Manchester United,2020/21
Marcos Rojo,Defender,Argentina,Manchester United,2020/21
Diogo Dalot,Defender,Portugal,Manchester United,2020/21
Luke Shaw,Defender,England,Manchester United,2020/21
Timothy Fosu-Mensah,Defender,Netherlands,Manchester United,2020/21
Aaron Wan-Bissaka,Defender,England,Manchester United,2020/21
Axel Tuanzebe,Defender,DR Congo,Manchester United,2020/21
Ethan Laird,Defender,England,Manchester United,2020/21
Teden Mengi,Defender,England,Manchester United,2020/21
Paul Pogba,Midfielder,France,Manchester United,2020/21
Juan Mata,Midfielder,Spain,Manchester United,2020/21
Jesse Lingard,Midfielder,England,Manchester United,2020/21
Andreas Pereira,Midfielder,Brazil,Manchester United,2020/21
Fred,Midfielder,Brazil,Manchester United,2020/21
Bruno Fernandes,Midfielder,Portugal,Manchester United,2020/21
Daniel James,Midfielder,Wales,Manchester United,2020/21
Nemanja Matic,Midfielder,Serbia,Manchester United,2020/21
James Garner,Midfielder,England,Manchester United,2020/21
Scott McTominay,Midfielder,Scotland,Manchester United,2020/21
Tahith Chong,Midfielder,Netherlands,Manchester United,2020/21
Ethan Galbraith,Midfielder,Northern Ireland,Manchester United,2020/21
Anthony Martial,Forward,France,Manchester United,2020/21
Marcus Rashford,Forward,England,Manchester United,2020/21
Odion Ighalo,Forward,Nigeria,Manchester United,2020/21
Mason Greenwood,Forward,England,Manchester United,2020/21
Max Taylor,Defender,England,Manchester United,2020/21
Matej Kovár,Goalkeeper,Czech Republic,Manchester United,2020/21
Dylan Levitt,Midfielder,Wales,Manchester United,2020/21
Arnau Puigmal,Midfielder,Spain,Manchester United,2020/21
Alisson Becker,Goalkeeper,Brazil,Liverpool,2020/21
Adrián,Goalkeeper,Spain,Liverpool,2020/21
Caoimhín Kelleher,Goalkeeper,Ireland,Liverpool,2020/21
Virgil van Dijk,Defender,Netherlands,Liverpool,2020/21
Joe Gomez,Defender,England,Liverpool,2020/21
Andy Robertson,Defender,Scotland,Liverpool,2020/21
Joël Matip,Defender,Cameroon,Liverpool,2020/21
Trent Alexander-Arnold,Defender,England,Liverpool,2020/21
Neco Williams,Defender,Wales,Liverpool,2020/21
Fabinho,Midfielder,Brazil,Liverpool,2020/21
Georginio Wijnaldum,Midfielder,Netherlands,Liverpool,2020/21
James Milner,Midfielder,England,Liverpool,2020/21
Naby Keïta,Midfielder,Guinea,Liverpool,2020/21
Jordan Henderson,Midfielder,England,Liverpool,2020/21
Alex Oxlade-Chamberlain,Midfielder,England,Liverpool,2020/21
Marko Grujic,Midfielder,Serbia,Liverpool,2020/21
Curtis Jones,Midfielder,England,Liverpool,2020/21
Harry Wilson,Midfielder,Wales,Liverpool,2020/21
Harvey Elliott,Midfielder,England,Liverpool,2020/21
Roberto Firmino,Forward,Brazil,Liverpool,2020/21
Sadio Mané,Forward,Senegal,Liverpool,2020/21
Mohamed Salah,Forward,Egypt,Liverpool,2020/21
Takumi Minamino,Forward,Japan,Liverpool,2020/21
Xherdan Shaqiri,Midfielder,Switzerland,Liverpool,2020/21
Rhian Brewster,Forward,England,Liverpool,2020/21
Divock Origi,Forward,Belgium,Liverpool,2020/21
Ben Winterbottom,Goalkeeper,England,Liverpool,2020/21
Vítezslav Jaros,Goalkeeper,Czech Republic,Liverpool,2020/21
Tom Hill,Midfielder,Wales,Liverpool,2020/21
Dejan Lovren,Defender,Croatia,Liverpool,2020/21
Luis Longstaff,Midfielder,England,Liverpool,2020/21
Leighton Clarkson,Midfielder,England,Liverpool,2020/21
Adam Lallana,Midfielder,England,Liverpool,2020/21
Elijah Dixon-Bonner,Midfielder,England,Liverpool,2020/21
Morgan Boyes,Defender,Wales,Liverpool,2020/21
Thomas Clayton,Defender,Scotland,Liverpool,2020/21
Jake Cain,Midfielder,England,Liverpool,2020/21
Sepp van den Berg,Defender,Netherlands,Liverpool,2020/21
Cody Drameh,Defender,England,Leeds United,2020/21
Danny Ward,Goalkeeper,Wales,Leicester City,2020/21
Eldin Jakupovic,Goalkeeper,Switzerland,Leicester City,2020/21
James Justin,Defender,England,Leicester City,2020/21
Ben Chilwell,Defender,England,Leicester City,2020/21
Çaglar Söyüncü,Defender,Turkey,Leicester City,2020/21
Wes Morgan,Defender,Jamaica,Leicester City,2020/21
Jonny Evans,Defender,Northern Ireland,Leicester City,2020/21
Filip Benkovic,Defender,Croatia,Leicester City,2020/21
Daniel Amartey,Defender,Ghana,Leicester City,2020/21
Ricardo Pereira,Defender,Portugal,Leicester City,2020/21
Christian Fuchs,Defender,Austria,Leicester City,2020/21
Demarai Gray,Midfielder,Jamaica,Leicester City,2020/21
Youri Tielemans,Midfielder,Belgium,Leicester City,2020/21
James Maddison,Midfielder,England,Leicester City,2020/21
Marc Albrighton,Midfielder,England,Leicester City,2020/21
Harvey Barnes,Midfielder,England,Leicester City,2020/21
Hamza Choudhury,Midfielder,England,Leicester City,2020/21
Matty James,Midfielder,England,Leicester City,2020/21
Wilfred Ndidi,Midfielder,Nigeria,Leicester City,2020/21
Dennis Praet,Midfielder,Belgium,Leicester City,2020/21
Jamie Vardy,Forward,England,Leicester City,2020/21
Islam Slimani,Forward,Algeria,Leicester City,2020/21
Kelechi Iheanacho,Forward,Nigeria,Leicester City,2020/21
Ayoze Pérez,Forward,Spain,Leicester City,2020/21
Ryan Bennett,Defender,England,Leicester City,2020/21
George Hirst,Forward,England,Leicester City,2020/21
Darnell Johnson,Defender,England,Leicester City,2020/21
George Thomas,Forward,Wales,Leicester City,2020/21
Vontae Campbell,Defender,England,Leicester City,2020/21
Josh Knight,Defender,England,Leicester City,2020/21
Sidnei Tavares,Midfielder,Portugal,Leicester City,2020/21
Kiernan Dewsbury-Hall,Midfielder,England,Leicester City,2020/21
Thakgalo Leshabela,Midfielder,South Africa,Leicester City,2020/21
Admiral Muskwe,Forward,Zimbabwe,Leicester City,2020/21
Josh Felix-Eppiah,Forward,Belgium,Leicester City,2020/21
Timothy Castagne,Defender,Belgium,Leicester City,2020/21
Jakub Stolarczyk,Goalkeeper,Poland,Leicester City,2020/21
Ethan Fitzhugh,Midfielder,England,Leicester City,2020/21
Wanya Madavidua,Midfielder,England,Leicester City,2020/21
Cengiz Ünder,Midfielder,Turkey,Leicester City,2020/21
Wesley Fofana,Defender,France,Leicester City,2020/21
Ben Nelson,Defender,England,Leicester City,2020/21
Shane Flynn,Midfielder,Ireland,Leicester City,2020/21
Luke Thomas,Defender,England,Leicester City,2020/21
Nampalys Mendy,Midfielder,Senegal,Leicester City,2020/21
Rachid Ghezzal,Midfielder,Algeria,Leicester City,2020/21
Adrien Silva,Midfielder,Portugal,Leicester City,2020/21
Fousseni Diabaté,Forward,Mali,Leicester City,2020/21
Thanawat Suengchitthawon,Midfielder,Thailand,Leicester City,2020/21
Tawanda Maswanhise,Forward,Zimbabwe,Leicester City,2020/21
João Virgínia,Goalkeeper,Portugal,Everton,2020/21
Jonas Lössl,Goalkeeper,Denmark,Everton,2020/21
Mason Holgate,Defender,England,Everton,2020/21
Michael Keane,Defender,England,Everton,2020/21
Lucas Digne,Defender,France,Everton,2020/21
Yerry Mina,Defender,Colombia,Everton,2020/21
Séamus Coleman,Defender,Ireland,Everton,2020/21
Jarrad Branthwaite,Defender,England,Everton,2020/21
Jonjoe Kenny,Defender,England,Everton,2020/21
Fabian Delph,Midfielder,England,Everton,2020/21
Gylfi Sigurdsson,Midfielder,Iceland,Everton,2020/21
André Gomes,Midfielder,Portugal,Everton,2020/21
Jean-Philippe Gbamin,Midfielder,Cote D’Ivoire,Everton,2020/21
Tom Davies,Midfielder,England,Everton,2020/21
Beni Baningime,Midfielder,DR Congo,Everton,2020/21
Richarlison,Forward,Brazil,Everton,2020/21
Dominic Calvert-Lewin,Forward,England,Everton,2020/21
Theo Walcott,Forward,England,Everton,2020/21
Cenk Tosun,Forward,Turkey,Everton,2020/21
Alex Iwobi,Forward,Nigeria,Everton,2020/21
Bernard,Forward,Brazil,Everton,2020/21
Moise Kean,Forward,Italy,Everton,2020/21
Anthony Gordon,Forward,England,Everton,2020/21
Djibril Sidibé,Defender,France,Everton,2020/21
Maarten Stekelenburg,Goalkeeper,Netherlands,Everton,2020/21
Dennis Adeniran,Midfielder,England,Everton,2020/21
Ellis Simms,Forward,England,Everton,2020/21
Leighton Baines,Defender,England,Everton,2020/21
Allan,Midfielder,Brazil,Everton,2020/21
James Rodríguez,Midfielder,Colombia,Everton,2020/21
Abdoulaye Doucouré,Midfielder,Mali,Everton,2020/21
Niels Nkounkou,Defender,France,Everton,2020/21
Ben Godfrey,Defender,England,Everton,2020/21
Robin Olsen,Goalkeeper,Sweden,Everton,2020/21
Thierry Small,Defender,England,Everton,2020/21
Tyler Onyango,Midfielder,England,Everton,2020/21
Joshua King,Forward,Norway,Everton,2020/21
Harry Tyrer,Goalkeeper,England,Everton,2020/21
Muhamed Besic,Midfielder,Bosnia & Herzegovina,Everton,2020/21
Yannick Bolasie,Forward,DR Congo,Everton,2020/21
Sandro Ramírez,Forward,Spain,Everton,2020/21
Ryan Astley,Defender,Wales,Everton,2020/21
Kyle John,Defender,England,Everton,2020/21
Nathan Broadhead,Forward,Wales,Everton,2020/21
Zan-Luk Leban,Goalkeeper,Slovenia,Everton,2020/21
Reece Welch,Defender,England,Everton,2020/21
Di'Shon Bernard,Defender,Jamaica,Manchester United,2020/21
D'Mani Mellor,Forward,England,Manchester United,2020/21
Alexis Sánchez,Forward,Chile,Manchester United,2020/21
Dean Henderson,Goalkeeper,England,Manchester United,2020/21
Donny van de Beek,Midfielder,Netherlands,Manchester United,2020/21
Anthony Elanga,Forward,Sweden,Manchester United,2020/21
Alex Telles,Defender,Brazil,Manchester United,2020/21
Edinson Cavani,Forward,Uruguay,Manchester United,2020/21
Facundo Pellistri,Midfielder,Uruguay,Manchester United,2020/21
Amad Diallo,Forward,Cote D’Ivoire,Manchester United,2020/21
Chris Smalling,Defender,England,Manchester United,2020/21
Shola Shoretire,Forward,England,Manchester United,2020/21
Nathan Bishop,Goalkeeper,England,Manchester United,2020/21
Will Fish,Defender,England,Manchester United,2020/21
Hannibal Mejbri,Midfielder,Tunisia,Manchester United,2020/21
Layton Stewart,Forward,England,Liverpool,2020/21
Jack Bearne,Midfielder,England,Liverpool,2020/21
Andy Lonergan,Goalkeeper,England,Liverpool,2020/21
Joseph Hardy,Forward,England,Liverpool,2020/21
Yasser Larouci,Defender,Algeria,Liverpool,2020/21
Tony Gallacher,Defender,Scotland,Liverpool,2020/21
James Norris,Defender,England,Liverpool,2020/21
Adam Lewis,Midfielder,England,Liverpool,2020/21
Liam Millar,Forward,Canada,Liverpool,2020/21
Billy Koumetio,Defender,France,Liverpool,2020/21
Kostas Tsimikas,Defender,Greece,Liverpool,2020/21
Nathaniel Phillips,Defender,England,Liverpool,2020/21
Ki-Jana Hoever,Defender,Netherlands,Liverpool,2020/21
Sheyi Ojo,Midfielder,England,Liverpool,2020/21
Taiwo Awoniyi,Forward,Nigeria,Liverpool,2020/21
Thiago Alcântara,Midfielder,Spain,Liverpool,2020/21
Diogo Jota,Forward,Portugal,Liverpool,2020/21
Rhys Williams,Defender,England,Liverpool,2020/21
Ben Davies,Defender,England,Liverpool,2020/21
Ozan Kabak,Defender,Turkey,Liverpool,2020/21
Kamil Grabara,Goalkeeper,Poland,Liverpool,2020/21
Liam Hughes,Goalkeeper,Northern Ireland,Liverpool,2020/21
Jakub Ojrzynski,Goalkeeper,Poland,Liverpool,2020/21
Harvey Davies,Goalkeeper,England,Liverpool,2020/21
Isaac Price,Midfielder,Northern Ireland,Everton,2020/21
Marek Rodák,Goalkeeper,Slovakia,Fulham,2020/21
Jordan Archer,Goalkeeper,Scotland,Fulham,2020/21
Fabri,Goalkeeper,Spain,Fulham,2020/21
Michael Hector,Defender,Jamaica,Fulham,2020/21
Denis Odoi,Defender,Ghana,Fulham,2020/21
Alfie Mawson,Defender,England,Fulham,2020/21
Tim Ream,Defender,United States,Fulham,2020/21
Maxime Le Marchand,Defender,France,Fulham,2020/21
Cyrus Christie,Defender,Ireland,Fulham,2020/21
Joe Bryan,Defender,England,Fulham,2020/21
Steven Sessegnon,Defender,England,Fulham,2020/21
Jean Seri,Midfielder,Cote D’Ivoire,Fulham,2020/21
Kevin McDonald,Midfielder,Scotland,Fulham,2020/21
Neeskens Kebano,Midfielder,DR Congo,Fulham,2020/21
Stefan Johansen,Midfielder,Norway,Fulham,2020/21
Tom Cairney,Midfielder,Scotland,Fulham,2020/21
Anthony Knockaert,Midfielder,France,Fulham,2020/21
Josh Onomah,Midfielder,England,Fulham,2020/21
Frank Anguissa,Midfielder,Cameroon,Fulham,2020/21
Brandon Williams,Defender,England,Manchester United,2020/21
Luca de la Torre,Midfielder,United States,Fulham,2020/21
Aleksandar Mitrovic,Forward,Serbia,Fulham,2020/21
Bobby De Cordova-Reid,Forward,Jamaica,Fulham,2020/21
Ivan Cavaleiro,Forward,Angola,Fulham,2020/21
Aboubakar Kamara,Forward,Mauritania,Fulham,2020/21
Harry Arter,Midfielder,Ireland,Fulham,2020/21
Harrison Reed,Midfielder,England,Fulham,2020/21
Jayden Harris,Midfielder,England,Fulham,2020/21
Jay Stansfield,Forward,England,Fulham,2020/21
Matt O'Riley,Midfielder,Denmark,Fulham,2020/21
Tyrese Francois,Midfielder,Australia,Fulham,2020/21
Benjamin Davis,Midfielder,Thailand,Fulham,2020/21
Sylvester Jasper,Forward,Bulgaria,Fulham,2020/21
Luca Ashby-Hammond,Goalkeeper,England,Fulham,2020/21
Jerome Opoku,Defender,Ghana,Fulham,2020/21
Martell Taylor-Crossdale,Forward,England,Fulham,2020/21
Magnus Norman,Goalkeeper,England,Fulham,2020/21
Antonee Robinson,Defender,United States,Fulham,2020/21
Mario Lemina,Midfielder,Gabon,Fulham,2020/21
Alphonse Areola,Goalkeeper,France,Fulham,2020/21
Kenny Tete,Defender,Netherlands,Fulham,2020/21
Ola Aina,Defender,Nigeria,Fulham,2020/21
Fábio Carvalho,Midfielder,Portugal,Fulham,2020/21
Ademola Lookman,Forward,Nigeria,Fulham,2020/21
Joachim Andersen,Defender,Denmark,Fulham,2020/21
Tosin Adarabioyo,Defender,England,Fulham,2020/21
Ruben Loftus-Cheek,Midfielder,England,Fulham,2020/21
Terence Kongolo,Defender,Netherlands,Fulham,2020/21
Josh Maja,Forward,Nigeria,Fulham,2020/21
Martin Dúbravka,Goalkeeper,Slovakia,Newcastle United,2020/21
Karl Darlow,Goalkeeper,Wales,Newcastle United,2020/21
Ciaran Clark,Defender,Ireland,Newcastle United,2020/21
Paul Dummett,Defender,Wales,Newcastle United,2020/21
Fabian Schär,Defender,Switzerland,Newcastle United,2020/21
Jamaal Lascelles,Defender,England,Newcastle United,2020/21
Emil Krafth,Defender,Sweden,Newcastle United,2020/21
Federico Fernández,Defender,Argentina,Newcastle United,2020/21
Javier Manquillo,Defender,Spain,Newcastle United,2020/21
Florian Lejeune,Defender,France,Newcastle United,2020/21
DeAndre Yedlin,Defender,United States,Newcastle United,2020/21
Jacob Murphy,Midfielder,England,Newcastle United,2020/21
Jonjo Shelvey,Midfielder,England,Newcastle United,2020/21
Matt Ritchie,Midfielder,Scotland,Newcastle United,2020/21
Isaac Hayden,Midfielder,England,Newcastle United,2020/21
Miguel Almirón,Midfielder,Paraguay,Newcastle United,2020/21
Christian Atsu,Midfielder,Ghana,Newcastle United,2020/21
Sean Longstaff,Midfielder,England,Newcastle United,2020/21
Andy Carroll,Forward,England,Newcastle United,2020/21
Joelinton,Forward,Brazil,Newcastle United,2020/21
Allan Saint-Maximin,Forward,France,Newcastle United,2020/21
Dwight Gayle,Forward,England,Newcastle United,2020/21
Yoshinori Muto,Forward,Japan,Newcastle United,2020/21
Danny Rose,Defender,England,Newcastle United,2020/21
