name,position,team,opponent_team,total_points,was_home,team_tot_points_last_5_matches,team_tot_points_last_5_h2h,tot_assists_last_5_h2h,tot_bonus_last_5_h2h,tot_bps_last_5_h2h,tot_clean_sheets_last_5_h2h,tot_goals_conceded_last_5_h2h,tot_goals_scored_last_5_h2h,tot_own_goals_last_5_h2h,tot_penalties_missed_last_5_h2h,tot_penalties_saved_last_5_h2h,tot_red_cards_last_5_h2h,tot_yellow_cards_last_5_h2h,tot_saves_last_5_h2h,tot_total_points_last_5_h2h,avg_ict_index_last_5_h2h,avg_influence_last_5_h2h,avg_creativity_last_5_h2h,avg_threat_last_5_h2h,avg_selected_last_5_h2h,avg_minutes_last_5_h2h,tot_assists_last_5,tot_bonus_last_5,tot_bps_last_5,tot_clean_sheets_last_5,tot_goals_conceded_last_5,tot_goals_scored_last_5,tot_own_goals_last_5,tot_penalties_missed_last_5,tot_penalties_saved_last_5,tot_red_cards_last_5,tot_yellow_cards_last_5,tot_saves_last_5,tot_total_points_last_5,avg_ict_index_last_5,avg_influence_last_5,avg_creativity_last_5,avg_threat_last_5,avg_selected_last_5,avg_minutes_last_5
Adrian Mazilu,MID,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4284.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4060.0,0.0
Brajan Gruda,MID,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3660.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3171.0,0.0
Joël Veltman,DEF,Brighton & Hove Albion,Manchester United,2,True,15.0,15.0,0,0,46,0,3,0,0,0,0,0,0,0,5,2.0,12.0,6.0,0.0,161567.0,43.0,0,2,65,1,1,1,0,0,0,0,0,0,17,3.0,15.0,6.0,7.0,89307.0,44.0
Wanya Marçal,MID,Leicester City,Fulham,0,False,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2450.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1910.0,0.0
Iliman Ndiaye,FWD,Everton,Tottenham Hotspur,1,False,0.0,4.0,0,0,4,0,4,0,0,0,0,0,1,0,2,1.0,6.0,5.0,3.0,3522.0,25.0,0,0,-1,0,3,0,0,0,0,0,0,0,2,1.0,3.0,0.0,3.0,6355.0,12.0
Ali Al-Hamadi,FWD,Ipswich Town,Manchester City,0,False,0.0,0.0,0,0,-2,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,37937.0,7.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,35168.0,12.0
Axel Tuanzebe,DEF,Ipswich Town,Manchester City,0,False,0.0,0.0,0,0,-6,0,4,0,0,0,0,0,0,0,0,0.0,4.0,0.0,0.0,42496.0,18.0,0,0,-5,0,6,0,0,0,0,0,0,0,1,1.0,5.0,0.0,1.0,63042.0,32.0
Willy-Arnaud Boly,DEF,Nottingham Forest,Southampton,1,False,7.0,15.0,0,1,32,1,2,0,0,0,0,0,1,0,10,2.0,7.0,0.0,9.0,17388.0,34.0,1,4,86,0,6,1,0,0,0,0,0,0,21,5.0,31.0,8.0,9.0,33748.0,72.0
Emile Smith Rowe,MID,Fulham,Leicester City,10,True,3.0,3.0,0,4,65,1,2,2,0,0,0,0,0,0,21,4.0,16.0,10.0,13.0,739195.0,42.0,0,3,44,1,1,1,0,0,0,0,0,0,14,2.0,8.0,3.0,7.0,608642.0,30.0
Nayef Aguerd,DEF,West Ham United,Crystal Palace,0,False,3.0,3.0,0,0,44,0,6,2,0,0,0,1,0,0,13,4.0,22.0,3.0,14.0,55246.0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,36871.0,0.0
