name,position,element,team,opponent_team,price,condition,xTotPoints
Ricardo Barbosa Pereira,DEF,302,Leicester City,Crystal Palace,4.1,0.0,-0.0
Rúben Gato Alves Dias,DEF,361,Manchester City,Brentford,5.4,0.25,0.1
Ben Chilwell,DEF,160,Chelsea,Bournemouth,4.7,1.0,-0.0
Tyrick Mitchell,DEF,210,Crystal Palace,Leicester City,4.8,1.0,4.19
Armel Bella-Kotchap,DEF,456,Southampton,Manchester United,3.9,1.0,-0.0
Lamare Bogarde,DEF,598,Aston Villa,Everton,4.0,1.0,-0.0
Noussair Mazraoui,DEF,594,Manchester United,Southampton,4.4,1.0,1.17
Ezri Konsa Ngoyo,DEF,44,Aston Villa,Everton,4.4,1.0,1.71
Virgil van Dijk,DEF,339,Liverpool,Nottingham Forest,6.4,1.0,2.47
Juan Larios López,DEF,464,Southampton,Manchester United,4.0,0.0,-0.0
Ethan Pinnock,DEF,104,Brentford,Manchester City,4.4,0.0,0.09
William Saliba,DEF,18,Arsenal,Tottenham Hotspur,6.3,1.0,2.92
Chris Richards,DEF,194,Crystal Palace,Leicester City,4.4,1.0,0.36
Rayan Aït-Nouri,DEF,533,Wolverhampton Wanderers,Newcastle United,4.8,1.0,1.92
James Justin,DEF,295,Leicester City,Crystal Palace,4.2,1.0,0.8
Michael Keane,DEF,228,Everton,Aston Villa,4.0,1.0,-0.0
Diego Carlos Santos Silva,DEF,35,Aston Villa,Everton,4.5,0.0,0.24
Trent Alexander-Arnold,DEF,311,Liverpool,Nottingham Forest,7.2,1.0,3.2
Riccardo Calafiori,DEF,578,Arsenal,Tottenham Hotspur,5.8,0.75,0.57
Jan Bednarek,DEF,455,Southampton,Manchester United,4.0,1.0,1.77
Wesley Fofana,DEF,189,Chelsea,Bournemouth,4.4,0.0,-0.0
Lucas Digne,DEF,36,Aston Villa,Everton,4.6,1.0,1.61
Matthijs de Ligt,DEF,593,Manchester United,Southampton,4.9,1.0,0.52
Kim Ji-soo,DEF,96,Brentford,Manchester City,3.9,1.0,0.19
Nathaniel Clyne,DEF,196,Crystal Palace,Leicester City,4.3,1.0,-0.09
Tyrell Malacia,DEF,379,Manchester United,Southampton,4.4,1.0,0.26
Lewis Dunk,DEF,120,Brighton & Hove Albion,Ipswich Town,4.3,1.0,2.04
Ibrahima Konaté,DEF,326,Liverpool,Nottingham Forest,5.1,1.0,0.19
Chadi Riad Dnanou,DEF,195,Crystal Palace,Leicester City,4.3,1.0,-0.0
Levi Colwill,DEF,162,Chelsea,Bournemouth,4.6,1.0,3.0
Joe Gomez,DEF,322,Liverpool,Nottingham Forest,4.8,0.0,0.42
Yerson Mosquera,DEF,558,Wolverhampton Wanderers,Newcastle United,3.9,0.0,-0.0
Sil Swinkels,DEF,640,Aston Villa,Everton,4.0,1.0,-0.0
Konstantinos Tsimikas,DEF,337,Liverpool,Nottingham Forest,4.6,1.0,0.19
Gabriel dos Santos Magalhães,DEF,3,Arsenal,Tottenham Hotspur,6.4,1.0,3.77
Manuel Akanji,DEF,340,Manchester City,Brentford,5.3,1.0,2.62
Matt Doherty,DEF,543,Wolverhampton Wanderers,Newcastle United,4.3,1.0,2.61
Conor Bradley,DEF,313,Liverpool,Nottingham Forest,4.7,1.0,0.15
Jarell Quansah,DEF,333,Liverpool,Nottingham Forest,3.9,1.0,0.08
Andrew Robertson,DEF,335,Liverpool,Nottingham Forest,5.9,1.0,0.97
Oleksandr Zinchenko,DEF,25,Arsenal,Tottenham Hotspur,4.8,1.0,0.08
Diogo Dalot Teixeira,DEF,369,Manchester United,Southampton,5.0,0.0,1.0
Nathan Aké,DEF,341,Manchester City,Brentford,5.3,1.0,2.62
Jamaal Lascelles,DEF,407,Newcastle United,Wolverhampton Wanderers,4.5,0.0,-0.0
Axel Disasi,DEF,167,Chelsea,Bournemouth,4.2,1.0,3.89
Victor Kristiansen,DEF,296,Leicester City,Crystal Palace,4.5,1.0,0.69
Kyle Walker-Peters,DEF,476,Southampton,Manchester United,4.3,1.0,2.17
Antonee Robinson,DEF,255,Fulham,West Ham United,5.0,1.0,2.85
Illia Zabarnyi,DEF,85,Bournemouth,Chelsea,4.4,1.0,4.84
Sven Botman,DEF,393,Newcastle United,Wolverhampton Wanderers,4.4,0.75,0.45
Ben Mee,DEF,100,Brentford,Manchester City,4.2,1.0,1.32
Wout Faes,DEF,291,Leicester City,Crystal Palace,4.0,1.0,0.53
Leny Yoro,DEF,572,Manchester United,Southampton,4.3,1.0,0.35
Ian Maatsen,DEF,45,Aston Villa,Everton,4.5,1.0,1.24
Mads Roerslev Rasmussen,DEF,105,Brentford,Manchester City,4.3,1.0,3.23
Jurriën Timber,DEF,6,Arsenal,Tottenham Hotspur,5.7,1.0,3.0
Ayden Heaven,DEF,658,Arsenal,Tottenham Hotspur,4.0,1.0,-0.0
Marc Cucurella Saseta,DEF,163,Chelsea,Bournemouth,5.2,1.0,1.18
Toti António Gomes,DEF,567,Wolverhampton Wanderers,Newcastle United,4.3,0.0,2.82
Dan Burn,DEF,395,Newcastle United,Wolverhampton Wanderers,4.4,1.0,4.77
Pervis Estupiñán,DEF,122,Brighton & Hove Albion,Ipswich Town,5.0,1.0,1.83
Luke Shaw,DEF,387,Manchester United,Southampton,4.9,0.25,-0.0
Aaron Hickey,DEF,93,Brentford,Manchester City,4.3,0.0,-0.0
Maxence Lacroix,DEF,650,Crystal Palace,Leicester City,4.5,1.0,2.02
Caleb Okoli,DEF,301,Leicester City,Crystal Palace,4.0,1.0,0.69
Reece James,DEF,172,Chelsea,Bournemouth,4.8,1.0,-0.0
Santiago Bueno,DEF,564,Wolverhampton Wanderers,Newcastle United,4.3,1.0,2.63
Kenny Tete,DEF,257,Fulham,West Ham United,4.4,0.0,0.09
Kortney Hause,DEF,40,Aston Villa,Everton,3.9,1.0,-0.0
Tino Livramento,DEF,409,Newcastle United,Wolverhampton Wanderers,4.5,1.0,2.89
Daniel Muñoz,DEF,211,Crystal Palace,Leicester City,4.7,1.0,2.17
Charlie Taylor,DEF,475,Southampton,Manchester United,3.9,1.0,-0.1
Matty Cash,DEF,32,Aston Villa,Everton,4.4,1.0,1.11
Issa Diop,DEF,245,Fulham,West Ham United,4.4,1.0,2.0
Igor Julio dos Santos de Paulo,DEF,128,Brighton & Hove Albion,Ipswich Town,4.4,0.0,0.23
Pedro Cardoso de Lima,DEF,561,Wolverhampton Wanderers,Newcastle United,3.9,1.0,-0.0
Nathan Collins,DEF,88,Brentford,Manchester City,4.6,1.0,1.14
Marc Guéhi,DEF,200,Crystal Palace,Leicester City,4.5,1.0,1.59
Kieran Trippier,DEF,418,Newcastle United,Wolverhampton Wanderers,5.6,1.0,2.2
John Stones,DEF,362,Manchester City,Brentford,5.3,0.25,0.15
Jayden Meghoma,DEF,649,Brentford,Manchester City,4.0,1.0,-0.0
Lewis Hall,DEF,399,Newcastle United,Wolverhampton Wanderers,4.9,1.0,6.58
Calvin Bassey,DEF,241,Fulham,West Ham United,4.5,1.0,2.04
Tosin Adarabioyo,DEF,187,Chelsea,Bournemouth,4.2,1.0,1.87
Matt Targett,DEF,416,Newcastle United,Wolverhampton Wanderers,4.0,1.0,0.07
Jan Paul van Hecke,DEF,144,Brighton & Hove Albion,Ipswich Town,4.5,1.0,2.0
Jorge Cuenca Barreno,DEF,586,Fulham,West Ham United,4.4,1.0,0.04
Rico Lewis,DEF,355,Manchester City,Brentford,4.6,1.0,1.99
Julián Araujo Zúñiga,DEF,592,Bournemouth,Chelsea,4.3,0.0,-0.0
James Tarkowski,DEF,236,Everton,Aston Villa,4.8,1.0,3.07
Joël Veltman,DEF,145,Brighton & Hove Albion,Ipswich Town,4.4,1.0,1.76
Tyrone Mings,DEF,49,Aston Villa,Everton,4.4,1.0,0.36
Malo Gusto,DEF,171,Chelsea,Bournemouth,4.9,1.0,3.36
Lloyd Kelly,DEF,404,Newcastle United,Wolverhampton Wanderers,4.2,1.0,0.31
Dean Huijsen,DEF,580,Bournemouth,Chelsea,4.4,1.0,6.72
Max Aarons,DEF,59,Bournemouth,Chelsea,4.3,1.0,2.88
Nathan Wood-Gordon,DEF,477,Southampton,Manchester United,4.0,1.0,1.8
Benjamin White,DEF,24,Arsenal,Tottenham Hotspur,6.1,0.0,-0.0
Harry Maguire,DEF,377,Manchester United,Southampton,4.9,1.0,1.01
Victor Lindelöf,DEF,376,Manchester United,Southampton,4.3,0.25,-0.0
Maldini Kacurri,DEF,657,Arsenal,Tottenham Hotspur,4.0,1.0,-0.0
Emil Krafth,DEF,405,Newcastle United,Wolverhampton Wanderers,4.3,0.75,-0.0
Jakub Kiwior,DEF,8,Arsenal,Tottenham Hotspur,4.8,1.0,-0.0
Kristoffer Ajer,DEF,86,Brentford,Manchester City,4.4,0.0,0.33
Ashley Young,DEF,238,Everton,Aston Villa,4.7,1.0,1.73
James Bree,DEF,457,Southampton,Manchester United,3.9,1.0,0.38
Alex Scott,MID,77,Bournemouth,Chelsea,4.7,0.0,0.0
Ben Brereton Díaz,MID,584,Southampton,Manchester United,4.9,1.0,0.0
Hwang Hee-chan,MID,550,Wolverhampton Wanderers,Newcastle United,6.1,1.0,4.03
João Victor Gomes da Silva,MID,553,Wolverhampton Wanderers,Newcastle United,4.9,1.0,1.83
Cole Palmer,MID,182,Chelsea,Bournemouth,11.4,1.0,5.19
Mitoma Kaoru,MID,136,Brighton & Hove Albion,Ipswich Town,6.4,1.0,1.23
Boubakary Soumaré,MID,285,Leicester City,Crystal Palace,4.4,1.0,0.92
Jeffrey Schlupp,MID,214,Crystal Palace,Leicester City,4.6,1.0,0.17
Thomas Partey,MID,20,Arsenal,Tottenham Hotspur,5.0,1.0,1.31
Harry Wilson,MID,259,Fulham,West Ham United,5.2,1.0,3.27
Kasey McAteer,MID,299,Leicester City,Crystal Palace,4.7,1.0,0.21
Curtis Jones,MID,324,Liverpool,Nottingham Forest,5.3,1.0,2.78
Gustavo Nunes Fernandes Gomes,MID,634,Brentford,Manchester City,4.9,0.0,0.0
Yunus Emre Konak,MID,97,Brentford,Manchester City,4.5,1.0,0.07
Abdoulaye Doucouré,MID,217,Everton,Aston Villa,5.1,1.0,1.96
Philip Billing,MID,76,Bournemouth,Chelsea,4.8,1.0,0.95
Gonçalo Manuel Ganchinho Guedes,MID,548,Wolverhampton Wanderers,Newcastle United,5.3,1.0,1.16
Brajan Gruda,MID,595,Brighton & Hove Albion,Ipswich Town,5.4,1.0,1.2
Rodrigo 'Rodri' Hernandez,MID,360,Manchester City,Brentford,6.2,0.0,0.0
Justin Devenny,MID,645,Crystal Palace,Leicester City,4.5,1.0,0.32
Jordan Ayew,MID,192,Leicester City,Crystal Palace,5.2,1.0,1.87
Kiernan Dewsbury-Hall,MID,166,Chelsea,Bournemouth,5.5,0.0,0.0
Maxwel Cornet,MID,515,Southampton,Manchester United,4.7,1.0,0.0
Jefferson Lerma Solís,MID,206,Crystal Palace,Leicester City,4.8,1.0,2.38
Bruno Borges Fernandes,MID,366,Manchester United,Southampton,8.3,1.0,3.76
Oliver Skipp,MID,501,Leicester City,Crystal Palace,4.7,1.0,0.62
Moisés Caicedo Corozo,MID,157,Chelsea,Bournemouth,4.9,1.0,2.15
Carlos Henrique Casimiro,MID,368,Manchester United,Southampton,4.8,1.0,0.38
Jacob Murphy,MID,402,Newcastle United,Wolverhampton Wanderers,5.1,0.75,2.48
Sean Longstaff,MID,410,Newcastle United,Wolverhampton Wanderers,4.6,1.0,0.58
Ryan Christie,MID,63,Bournemouth,Chelsea,4.9,0.75,4.37
Noni Madueke,MID,177,Chelsea,Bournemouth,6.2,1.0,1.67
Tommy Doyle,MID,544,Wolverhampton Wanderers,Newcastle United,4.8,1.0,0.7
Lesley Ugochukwu,MID,188,Southampton,Manchester United,4.4,1.0,0.99
Christian Eriksen,MID,370,Manchester United,Southampton,5.3,1.0,0.5
Jean-Ricner Bellegarde,MID,535,Wolverhampton Wanderers,Newcastle United,4.9,1.0,0.79
Mateo Kovačić,MID,354,Manchester City,Brentford,5.4,1.0,1.58
Phil Foden,MID,348,Manchester City,Brentford,9.2,1.0,6.74
Mason Mount,MID,382,Manchester United,Southampton,6.3,0.25,0.08
Gabriel Martinelli Silva,MID,9,Arsenal,Tottenham Hotspur,6.8,1.0,3.44
Yasin Ayari,MID,600,Brighton & Hove Albion,Ipswich Town,5.0,1.0,1.11
Mikel Merino,MID,633,Arsenal,Tottenham Hotspur,6.0,1.0,2.63
Facundo Buonanotte,MID,117,Leicester City,Crystal Palace,4.8,1.0,1.11
Ethan Brierley,MID,87,Brentford,Manchester City,4.4,1.0,0.0
Ismaïla Sarr,MID,585,Crystal Palace,Leicester City,5.9,1.0,3.54
Josh Dasilva,MID,90,Brentford,Manchester City,4.8,0.0,0.0
Jadon Sancho,MID,386,Chelsea,Bournemouth,6.2,1.0,2.64
Mohamed Salah,MID,328,Liverpool,Nottingham Forest,13.7,1.0,11.19
Federico Chiesa,MID,636,Liverpool,Nottingham Forest,6.8,1.0,0.0
Leandro Trossard,MID,23,Arsenal,Tottenham Hotspur,6.8,1.0,1.11
Miguel Almirón Rejala,MID,391,Newcastle United,Wolverhampton Wanderers,5.4,1.0,0.26
James Garner,MID,223,Everton,Aston Villa,4.9,0.25,0.0
Marcus Tavernier,MID,83,Bournemouth,Chelsea,5.4,0.0,0.0
Omari Kellyman,MID,173,Chelsea,Bournemouth,4.4,0.0,0.0
Martial Godo,MID,605,Fulham,West Ham United,4.4,1.0,0.13
Harrison Reed,MID,254,Fulham,West Ham United,4.7,1.0,0.0
Will Alves,MID,606,Leicester City,Crystal Palace,4.5,1.0,0.07
Carlos Baleba,MID,115,Brighton & Hove Albion,Ipswich Town,5.0,1.0,2.0
Ryan Fraser,MID,397,Southampton,Manchester United,4.8,1.0,0.0
Mathias Jensen,MID,95,Brentford,Manchester City,5.3,1.0,0.69
Dango Ouattara,MID,74,Bournemouth,Chelsea,5.0,1.0,2.45
Yehor Yarmoliuk,MID,111,Brentford,Manchester City,4.4,1.0,0.89
Tyler Dibling,MID,608,Southampton,Manchester United,4.5,1.0,2.12
Orel Mangala,MID,651,Everton,Aston Villa,5.0,1.0,1.77
Bobby De Cordova-Reid,MID,290,Leicester City,Crystal Palace,5.2,1.0,0.7
Manuel Ugarte,MID,652,Manchester United,Southampton,4.9,1.0,0.78
Matheus Luiz Nunes,MID,356,Manchester City,Brentford,4.9,1.0,0.21
Cameron Peupion,MID,140,Brighton & Hove Albion,Ipswich Town,4.4,1.0,0.0
Mats Wieffer,MID,149,Brighton & Hove Albion,Ipswich Town,4.7,0.5,1.48
Harvey Elliott,MID,319,Liverpool,Nottingham Forest,5.2,1.0,0.95
Garang Kuol,MID,406,Newcastle United,Wolverhampton Wanderers,4.4,1.0,0.0
Nico O'Reilly,MID,607,Manchester City,Brentford,4.9,1.0,0.0
Kaden Rodney,MID,647,Crystal Palace,Leicester City,4.5,1.0,0.0
Rodrigo Martins Gomes,MID,563,Wolverhampton Wanderers,Newcastle United,5.2,1.0,1.76
Bilal El Khannouss,MID,635,Leicester City,Crystal Palace,4.8,1.0,0.92
Toby Collyer,MID,613,Manchester United,Southampton,4.5,1.0,0.0
Asher Agbinone,MID,646,Crystal Palace,Leicester City,4.5,1.0,0.0
Kadan Young,MID,656,Aston Villa,Everton,4.5,1.0,0.0
Martin Ødegaard,MID,13,Arsenal,Tottenham Hotspur,8.3,1.0,2.45
Cesare Casadei,MID,158,Chelsea,Bournemouth,4.4,1.0,0.0
Jaden Philogene,MID,569,Aston Villa,Everton,5.3,1.0,0.0
Mario Lemina,MID,557,Wolverhampton Wanderers,Newcastle United,4.9,1.0,0.83
Adam Wharton,MID,216,Crystal Palace,Leicester City,4.7,0.0,0.0
Luis Sinisterra,MID,80,Bournemouth,Chelsea,4.8,0.0,0.0
Stephy Mavididi,MID,298,Leicester City,Crystal Palace,5.1,1.0,6.38
Anthony Gordon,MID,398,Newcastle United,Wolverhampton Wanderers,7.6,1.0,6.8
Josh King,MID,604,Fulham,West Ham United,4.5,1.0,0.28
Matt O'Riley,MID,629,Brighton & Hove Albion,Ipswich Town,5.5,1.0,1.01
Jack Harrison,MID,224,Everton,Aston Villa,5.2,1.0,1.64
Luke Cundle,MID,540,Wolverhampton Wanderers,Newcastle United,4.5,1.0,0.0
Bukayo Saka,MID,17,Arsenal,Tottenham Hotspur,10.2,0.0,0.56
Hamza Choudhury,MID,287,Leicester City,Crystal Palace,4.3,1.0,0.59
Joe Aribo,MID,452,Southampton,Manchester United,4.9,1.0,1.12
Jack Hinshelwood,MID,126,Brighton & Hove Albion,Ipswich Town,4.9,0.5,0.0
Antoine Semenyo,MID,78,Bournemouth,Chelsea,5.6,1.0,2.71
Dwight McNeil,MID,230,Everton,Aston Villa,5.1,0.0,0.0
Franco Umeh-Chibueze,MID,644,Crystal Palace,Leicester City,4.4,0.25,0.0
Saša Lukić,MID,249,Fulham,West Ham United,4.8,1.0,2.47
Kevin De Bruyne,MID,345,Manchester City,Brentford,9.4,1.0,2.89
Antony Matheus dos Santos,MID,365,Manchester United,Southampton,5.7,1.0,0.6
Jorge Luiz Frello Filho,MID,7,Arsenal,Tottenham Hotspur,4.7,1.0,0.58
Idrissa Gueye,MID,222,Everton,Aston Villa,4.8,1.0,1.89
Christian Nørgaard,MID,101,Brentford,Manchester City,4.8,1.0,1.91
Declan Rice,MID,16,Arsenal,Tottenham Hotspur,6.2,1.0,1.68
Salah-Eddine Oulad M'hand,MID,638,Arsenal,Tottenham Hotspur,4.5,1.0,0.0
Vitaly Janelt,MID,94,Brentford,Manchester City,4.9,1.0,1.82
Adama Traoré,MID,239,Fulham,West Ham United,4.7,1.0,1.07
Alexis Mac Allister,MID,329,Liverpool,Nottingham Forest,6.2,1.0,3.47
Endo Wataru,MID,320,Liverpool,Nottingham Forest,4.6,1.0,0.22
Keane Lewis-Potter,MID,98,Brentford,Manchester City,5.0,1.0,2.46
Michael Golding,MID,292,Leicester City,Crystal Palace,4.4,1.0,0.0
João Félix Sequeira,MID,621,Chelsea,Bournemouth,6.0,1.0,0.0
Emile Smith Rowe,MID,19,Fulham,West Ham United,5.3,1.0,0.23
Enso González,MID,547,Wolverhampton Wanderers,Newcastle United,4.4,0.0,0.0
Christopher Nkunku,MID,181,Chelsea,Bournemouth,5.8,1.0,0.84
Ryan Gravenberch,MID,323,Liverpool,Nottingham Forest,5.0,1.0,2.13
Joe Willock,MID,420,Newcastle United,Wolverhampton Wanderers,4.8,0.75,1.46
Lewis Cook,MID,64,Bournemouth,Chelsea,5.0,1.0,2.29
Alex Iwobi,MID,247,Fulham,West Ham United,5.9,1.0,2.05
Ethan Nwaneri,MID,12,Arsenal,Tottenham Hotspur,4.5,0.0,1.57
Ilkay Gündogan,MID,625,Manchester City,Brentford,6.4,1.0,1.15
Isaac Hayden,MID,400,Newcastle United,Wolverhampton Wanderers,4.4,1.0,0.0
Tom Cairney,MID,243,Fulham,West Ham United,4.8,1.0,1.21
Jacob Ramsey,MID,53,Aston Villa,Everton,5.4,1.0,0.31
Emiliano Buendía Stati,MID,31,Aston Villa,Everton,5.1,1.0,0.58
James McAtee,MID,357,Manchester City,Brentford,4.6,1.0,0.32
Youri Tielemans,MID,57,Aston Villa,Everton,5.5,1.0,1.56
Yankuba Minteh,MID,135,Brighton & Hove Albion,Ipswich Town,5.0,0.75,0.97
Ismeal Kabia,MID,659,Arsenal,Tottenham Hotspur,4.5,1.0,0.0
Kevin Schade,MID,106,Brentford,Manchester City,5.1,1.0,2.14
Samuel Amo-Ameyaw,MID,451,Southampton,Manchester United,4.4,1.0,0.0
Justin Kluivert,MID,71,Bournemouth,Chelsea,5.5,1.0,2.45
Flynn Downes,MID,518,Southampton,Manchester United,4.8,0.75,1.05
Alejandro Garnacho,MID,372,Manchester United,Southampton,6.0,1.0,0.8
Jack Grealish,MID,349,Manchester City,Brentford,6.4,1.0,0.33
Simon Adingra,MID,113,Brighton & Hove Albion,Ipswich Town,5.2,1.0,1.67
Harrison Armstrong,MID,603,Everton,Aston Villa,4.5,1.0,0.14
Carney Chukwuemeka,MID,161,Chelsea,Bournemouth,4.8,1.0,0.0
Pedro Lomba Neto,MID,560,Chelsea,Bournemouth,6.2,1.0,1.14
Harry Winks,MID,309,Leicester City,Crystal Palace,4.5,1.0,1.43
Julio Enciso,MID,121,Brighton & Hove Albion,Ipswich Town,5.4,1.0,1.1
Boubacar Traoré,MID,534,Wolverhampton Wanderers,Newcastle United,4.8,0.5,0.0
Mikkel Damsgaard,MID,89,Brentford,Manchester City,5.0,1.0,2.59
Luis Díaz,MID,327,Liverpool,Nottingham Forest,7.6,1.0,3.08
James Milner,MID,134,Brighton & Hove Albion,Ipswich Town,5.0,0.0,0.0
Ryan Trevitt,MID,602,Brentford,Manchester City,4.4,1.0,0.0
Enzo Fernández,MID,168,Chelsea,Bournemouth,5.0,1.0,1.65
Fábio Freitas Gouveia Carvalho,MID,314,Brentford,Manchester City,4.6,1.0,0.51
Jérémy Doku,MID,346,Manchester City,Brentford,6.2,1.0,0.33
Cheick Doucouré,MID,193,Crystal Palace,Leicester City,4.9,1.0,1.29
Wilfred Ndidi,MID,300,Leicester City,Crystal Palace,4.9,0.0,0.0
Daichi Kamada,MID,205,Crystal Palace,Leicester City,5.1,1.0,1.17
Georginio Rutter,MID,618,Brighton & Hove Albion,Ipswich Town,5.2,0.75,1.14
Pablo Sarabia,MID,565,Wolverhampton Wanderers,Newcastle United,5.0,1.0,0.25
Diogo Teixeira da Silva,MID,317,Liverpool,Nottingham Forest,7.2,1.0,2.72
Tyler Adams,MID,60,Bournemouth,Chelsea,4.9,1.0,1.12
Marcus Rashford,MID,385,Manchester United,Southampton,6.6,1.0,0.0
Bruno Guimarães Rodriguez Moura,MID,394,Newcastle United,Wolverhampton Wanderers,6.1,1.0,5.99
Bryan Mbeumo,MID,99,Brentford,Manchester City,7.8,1.0,6.35
Adam Lallana,MID,463,Southampton,Manchester United,5.0,1.0,0.6
Sandro Tonali,MID,417,Newcastle United,Wolverhampton Wanderers,5.5,1.0,2.55
Joelinton Cássio Apolinário de Lira,MID,403,Newcastle United,Wolverhampton Wanderers,6.0,1.0,4.41
John McGinn,MID,48,Aston Villa,Everton,5.2,0.0,3.01
Oscar Bobb,MID,343,Manchester City,Brentford,4.7,0.25,0.0
Jesper Lindstrøm,MID,577,Everton,Aston Villa,5.0,1.0,0.94
Bernardo Veiga de Carvalho e Silva,MID,342,Manchester City,Brentford,6.3,1.0,2.91
David Brooks,MID,62,Bournemouth,Chelsea,4.9,1.0,1.55
Solly March,MID,132,Brighton & Hove Albion,Ipswich Town,6.5,1.0,0.12
Tyler Morton,MID,331,Liverpool,Nottingham Forest,4.4,1.0,0.0
Matheus França de Oliveira,MID,208,Crystal Palace,Leicester City,4.4,0.0,0.0
Andreas Hoelgebaum Pereira,MID,240,Fulham,West Ham United,5.0,1.0,1.89
Amadou Onana,MID,233,Aston Villa,Everton,4.9,1.0,1.18
Morgan Rogers,MID,54,Aston Villa,Everton,5.5,1.0,5.4
Reiss Nelson,MID,10,Fulham,West Ham United,5.0,0.0,0.0
Kamaldeen Sulemana,MID,462,Southampton,Manchester United,5.0,1.0,0.85
Amad Diallo,MID,364,Manchester United,Southampton,5.4,1.0,4.75
Mateus Gonçalo Espanha Fernandes,MID,623,Southampton,Manchester United,5.0,1.0,1.44
Carlos Roberto Forbs Borges,MID,655,Wolverhampton Wanderers,Newcastle United,5.5,1.0,0.69
André Trindade da Costa Neto,MID,642,Wolverhampton Wanderers,Newcastle United,5.0,1.0,1.65
Lewis Miley,MID,411,Newcastle United,Wolverhampton Wanderers,5.0,1.0,0.49
Abdul Fatawu,MID,570,Leicester City,Crystal Palace,5.2,0.0,0.0
Dominik Szoboszlai,MID,336,Liverpool,Nottingham Forest,6.3,1.0,2.59
Tim Iroegbunam,MID,226,Everton,Aston Villa,4.3,0.0,0.0
Roméo Lavia,MID,174,Chelsea,Bournemouth,4.5,1.0,0.0
Leon Bailey,MID,28,Aston Villa,Everton,6.2,1.0,2.86
Harvey Barnes,MID,392,Newcastle United,Wolverhampton Wanderers,6.0,0.0,0.92
Will Smallbone,MID,471,Southampton,Manchester United,5.0,1.0,0.0
Mykhailo Mudryk,MID,179,Chelsea,Bournemouth,6.2,0.0,0.0
Renato Palma Veiga,MID,184,Chelsea,Bournemouth,4.4,1.0,0.0
