name,position,element,team,opponent_team,price,condition,xTotPoints
Ross Barkley,MID,29,Aston Villa,Arsenal,5.2,0.0,1.95
James McConnell,MID,330,Liverpool,Brentford,4.4,1.0,0.0
Kobbie Mainoo,MID,378,Manchester United,Brighton & Hove Albion,5.2,1.0,1.34
Sander Berge,MID,622,Fulham,Leicester City,5.0,1.0,0.25
Will Hughes,MID,203,Crystal Palace,West Ham United,4.9,1.0,1.81
Jakub Moder,MID,137,Brighton & Hove Albion,Manchester United,4.4,1.0,0.54
Raheem Sterling,MID,186,Arsenal,Aston Villa,6.7,1.0,0.36
Myles Lewis-Skelly,MID,597,Arsenal,Aston Villa,4.5,1.0,1.08
Armando Broja,FWD,156,Everton,Tottenham Hotspur,5.4,0.0,0.28
Alexander Isak,FWD,401,Newcastle United,Bournemouth,9.4,1.0,9.72
Rasmus Højlund,FWD,375,Manchester United,Brighton & Hove Albion,6.9,1.0,1.35
Callum Wilson,FWD,421,Newcastle United,Bournemouth,6.9,0.0,0.0
Jhon Durán,FWD,38,Aston Villa,Arsenal,5.8,1.0,0.73
Youssef Ramalho Chermiti,FWD,237,Everton,Tottenham Hotspur,4.9,0.0,0.0
Evan Ferguson,FWD,123,Brighton & Hove Albion,Manchester United,5.5,0.5,0.0
Kai Havertz,FWD,4,Arsenal,Aston Villa,7.8,1.0,2.17
Yoane Wissa,FWD,110,Brentford,Liverpool,6.2,1.0,3.11
Nicolas Jackson,FWD,180,Chelsea,Wolverhampton Wanderers,8.0,1.0,2.6
Jamie Vardy,FWD,306,Leicester City,Fulham,5.5,1.0,1.51
Paul Onuachu,FWD,470,Southampton,Nottingham Forest,4.9,1.0,1.18
Darwin Núñez Ribeiro,FWD,316,Liverpool,Brentford,7.0,1.0,0.55
Daniel Jebbison,FWD,69,Bournemouth,Newcastle United,4.5,1.0,0.57
Igor Thiago Nascimento Rodrigues,FWD,107,Brentford,Liverpool,5.9,0.0,0.0
Cameron Archer,FWD,27,Southampton,Nottingham Forest,5.0,1.0,0.36
Erling Haaland,FWD,351,Manchester City,Ipswich Town,14.8,1.0,5.02
Joshua Zirkzee,FWD,389,Manchester United,Brighton & Hove Albion,6.5,1.0,0.91
Jørgen Strand Larsen,FWD,566,Wolverhampton Wanderers,Chelsea,5.4,1.0,3.72
Odsonne Edouard,FWD,198,Leicester City,Fulham,5.1,1.0,0.0
Deivid Washington de Souza Eugênio,FWD,165,Chelsea,Wolverhampton Wanderers,4.9,1.0,0.0
Dominic Calvert-Lewin,FWD,220,Everton,Tottenham Hotspur,5.4,1.0,1.28
Cody Gakpo,FWD,321,Liverpool,Brentford,7.4,1.0,6.71
Enes Ünal,FWD,65,Bournemouth,Newcastle United,5.4,0.0,0.86
Francisco Evanilson de Lima Barbosa,FWD,617,Bournemouth,Newcastle United,5.7,0.0,1.55
Gabriel Fernando de Jesus,FWD,2,Arsenal,Aston Villa,6.7,0.0,4.57
Iliman Ndiaye,FWD,232,Everton,Tottenham Hotspur,5.4,1.0,2.6
Ross Stewart,FWD,473,Southampton,Nottingham Forest,4.4,0.0,0.0
Norberto Bercique Gomes Betuncal,FWD,218,Everton,Tottenham Hotspur,4.9,1.0,0.24
Danny Welbeck,FWD,148,Brighton & Hove Albion,Manchester United,5.5,1.0,0.36
Patson Daka,FWD,289,Leicester City,Fulham,4.8,1.0,1.18
João Pedro Junqueira de Jesus,FWD,129,Brighton & Hove Albion,Manchester United,5.6,1.0,5.5
Leon Chiwome,FWD,539,Wolverhampton Wanderers,Chelsea,4.5,1.0,0.0
Saša Kalajdžić,FWD,555,Wolverhampton Wanderers,Chelsea,4.8,0.0,0.0
Carlos Vinícius Alves Morais,FWD,258,Fulham,Leicester City,5.0,1.0,0.06
William Osula,FWD,590,Newcastle United,Bournemouth,4.9,1.0,0.43
Jean-Philippe Mateta,FWD,207,Crystal Palace,West Ham United,7.3,1.0,3.82
Marc Guiu Paz,FWD,178,Chelsea,Wolverhampton Wanderers,4.7,1.0,0.07
Eddie Nketiah,FWD,11,Crystal Palace,West Ham United,5.9,1.0,0.35
Matheus Santos Carneiro Da Cunha,FWD,541,Wolverhampton Wanderers,Chelsea,7.0,0.75,5.87
Ollie Watkins,FWD,58,Aston Villa,Arsenal,8.9,1.0,5.65
Ethan Wheatley,FWD,648,Manchester United,Brighton & Hove Albion,4.5,1.0,0.0
Rodrigo Muniz Carvalho,FWD,251,Fulham,Leicester City,5.5,1.0,1.93
Adam Armstrong,FWD,453,Southampton,Nottingham Forest,5.1,1.0,1.87
Raúl Jiménez,FWD,252,Fulham,Leicester City,5.7,1.0,4.88
Hákon Valdimarsson,GK,109,Brentford,Liverpool,3.9,1.0,0.06
Jason Steele,GK,142,Brighton & Hove Albion,Manchester United,4.1,1.0,0.0
José Malheiro de Sá,GK,554,Wolverhampton Wanderers,Chelsea,4.3,1.0,2.48
Kepa Arrizabalaga,GK,152,Bournemouth,Newcastle United,4.5,1.0,3.23
Tom Heaton,GK,374,Manchester United,Brighton & Hove Albion,3.9,1.0,0.0
Caoimhin Kelleher,GK,325,Liverpool,Brentford,4.1,1.0,0.0
Scott Carson,GK,344,Manchester City,Ipswich Town,4.0,1.0,0.0
Daniel Iversen,GK,294,Leicester City,Fulham,3.9,1.0,0.0
Mads Hermansen,GK,293,Leicester City,Fulham,4.5,0.0,0.0
Sam Johnstone,GK,204,Wolverhampton Wanderers,Chelsea,4.2,1.0,0.0
Robin Olsen,GK,51,Aston Villa,Arsenal,4.5,1.0,0.0
Bart Verbruggen,GK,146,Brighton & Hove Albion,Manchester United,4.5,1.0,4.41
Robert Sánchez,GK,185,Chelsea,Wolverhampton Wanderers,4.8,1.0,2.2
Asmir Begovic,GK,624,Everton,Tottenham Hotspur,4.0,1.0,0.0
Aaron Ramsdale,GK,14,Southampton,Nottingham Forest,4.4,1.0,3.28
Matt Turner,GK,445,Crystal Palace,West Ham United,3.9,1.0,0.0
Altay Bayindir,GK,367,Manchester United,Brighton & Hove Albion,4.3,1.0,0.0
André Onana,GK,383,Manchester United,Brighton & Hove Albion,5.1,1.0,1.59
Will Dennis,GK,599,Bournemouth,Newcastle United,4.0,1.0,0.0
Joe Lumley,GK,466,Southampton,Nottingham Forest,4.0,1.0,0.0
Norberto Murara Neto,GK,73,Arsenal,Aston Villa,4.1,1.0,0.0
Nick Pope,GK,413,Newcastle United,Bournemouth,4.9,0.5,0.0
Oliwier Zych,GK,641,Aston Villa,Arsenal,4.0,1.0,0.0
Emiliano Martínez Romero,GK,47,Aston Villa,Arsenal,5.0,1.0,2.76
Tommy Setford,GK,639,Arsenal,Aston Villa,4.5,1.0,0.0
Remi Matthews,GK,209,Crystal Palace,West Ham United,3.9,1.0,0.0
Lucas Bergström,GK,154,Chelsea,Wolverhampton Wanderers,3.9,1.0,0.0
David Raya Martin,GK,15,Arsenal,Aston Villa,5.6,1.0,3.35
Mark Flekken,GK,91,Brentford,Liverpool,4.4,1.0,2.65
João Neves Virgínia,GK,227,Everton,Tottenham Hotspur,3.9,1.0,0.0
Ederson Santana de Moraes,GK,347,Manchester City,Ipswich Town,5.3,1.0,0.0
Bernd Leno,GK,248,Fulham,Leicester City,5.0,1.0,2.87
Daniel Bentley,GK,536,Wolverhampton Wanderers,Chelsea,3.9,1.0,0.0
Gavin Bazunu,GK,454,Southampton,Nottingham Forest,4.3,0.75,0.0
Danny Ward,GK,308,Leicester City,Fulham,3.9,1.0,0.08
Joe Gauci,GK,39,Aston Villa,Arsenal,4.0,1.0,0.0
Martin Dúbravka,GK,396,Newcastle United,Bournemouth,4.3,1.0,5.16
Tom King,GK,556,Wolverhampton Wanderers,Chelsea,4.0,1.0,0.0
Jordan Pickford,GK,235,Everton,Tottenham Hotspur,5.0,1.0,3.76
Marcus Bettinelli,GK,155,Chelsea,Wolverhampton Wanderers,3.9,1.0,-0.05
Alisson Ramses Becker,GK,310,Liverpool,Brentford,5.4,1.0,2.59
Alex McCarthy,GK,469,Southampton,Nottingham Forest,4.3,1.0,0.0
Steven Benda,GK,242,Fulham,Leicester City,4.0,1.0,0.0
Dean Henderson,GK,201,Crystal Palace,West Ham United,4.5,1.0,2.92
John Ruddy,GK,414,Newcastle United,Bournemouth,4.0,1.0,0.0
Odysseas Vlachodimos,GK,412,Newcastle United,Bournemouth,4.3,1.0,0.0
Filip Jørgensen,GK,581,Chelsea,Wolverhampton Wanderers,4.2,1.0,0.15
Jakub Stolarczyk,GK,304,Leicester City,Fulham,4.0,1.0,1.06
Mark Travers,GK,84,Bournemouth,Newcastle United,4.4,1.0,1.24
Stefan Ortega Moreno,GK,358,Manchester City,Ipswich Town,5.2,1.0,2.98
